Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;knapsackga.cpp;16;0.9338061809539795;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;3.8262555599212646;0-13;Random bit-flip
retval;random.c;289;11.361214637756348;0-13;Random bit-flip
n;knapsackga.cpp;16;1.208592414855957;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;9.552162408828735;0-13;Random bit-flip
n;knapsackga.cpp;16;1.0842156410217285;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;10.390044689178467;0-13;Random bit-flip
_dl_skip_args;rtld.c;84;1.16105055809021;0-13;Random bit-flip
i;knapsackga.cpp;78;2.7918241024017334;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;4.563393831253052;0-13;Random bit-flip
val;knapsackga.cpp;14;2.203209638595581;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;2.668233633041382;0-13;Random bit-flip
n;knapsackga.cpp;16;3.3768961429595947;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;1.627237319946289;0-13;Random bit-flip
this;knapsackga.cpp;0;10.94054627418518;0-13;Random bit-flip
i;knapsackga.cpp;25;5.318318843841553;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;1.7118146419525146;0-13;Random bit-flip
n;knapsackga.cpp;16;4.66169285774231;0-13;Random bit-flip
best;knapsackga.cpp;92;4.5858471393585205;0-13;Random bit-flip
i;knapsackga.cpp;73;2.2399158477783203;0-13;Random bit-flip
n;knapsackga.cpp;16;1.311777114868164;0-13;Random bit-flip
wt;knapsackga.cpp;15;9.597648859024048;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;1.9461121559143066;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;6.004683256149292;0-13;Random bit-flip
__last;/usr/include/c++/7/bits/stl_construct.h;203;2.027076005935669;0-13;Random bit-flip
f2;knapsackga.cpp;105;4.623066663742065;0-13;Random bit-flip
n;knapsackga.cpp;16;1.8123829364776611;0-13;Random bit-flip
__value;/usr/include/c++/7/bits/stl_algobase.h;749;3.05349063873291;0-13;Random bit-flip
n;knapsackga.cpp;16;4.068746566772461;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;0.9280827045440674;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;3.615236282348633;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;2.8569772243499756;0-13;Random bit-flip
f2;knapsackga.cpp;105;1.8362069129943848;0-13;Random bit-flip
n;knapsackga.cpp;16;9.935286283493042;0-13;Random bit-flip
__xlen;/usr/include/c++/7/bits/vector.tcc;203;4.0262291431427;0-13;Random bit-flip
i;knapsackga.cpp;109;2.922966718673706;0-13;Random bit-flip
i;knapsackga.cpp;25;3.384918212890625;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;3.1748971939086914;0-13;Random bit-flip
n;knapsackga.cpp;16;1.3388354778289795;0-13;Random bit-flip
n;knapsackga.cpp;16;11.861849308013916;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;2.5064005851745605;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;4.944217681884766;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;7.873437166213989;0-13;Random bit-flip
wt;knapsackga.cpp;15;5.755345582962036;0-13;Random bit-flip
n;knapsackga.cpp;16;0.8818528652191162;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;3.9450247287750244;0-13;Random bit-flip
n;knapsackga.cpp;16;3.358294725418091;0-13;Random bit-flip
i;knapsackga.cpp;25;1.949871301651001;0-13;Random bit-flip
mae;knapsackga.cpp;71;2.6790339946746826;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;3.559925079345703;0-13;Random bit-flip
pai;knapsackga.cpp;71;1.6495521068572998;0-13;Random bit-flip
i;knapsackga.cpp;25;3.0313050746917725;0-13;Random bit-flip
n;knapsackga.cpp;16;2.30320143699646;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;2.302999496459961;0-13;Random bit-flip
wt;knapsackga.cpp;15;7.4788818359375;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;1.8845405578613281;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;2.2279200553894043;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;1.0051398277282715;0-13;Random bit-flip
W;knapsackga.cpp;16;8.529616832733154;0-13;Random bit-flip
n;knapsackga.cpp;16;4.950237512588501;0-13;Random bit-flip
result2;knapsackga.cpp;143;5.764294147491455;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;2.1426796913146973;0-13;Random bit-flip
W;knapsackga.cpp;16;3.398336410522461;0-13;Random bit-flip
n;knapsackga.cpp;16;9.669591665267944;0-13;Random bit-flip
W;knapsackga.cpp;16;3.114752769470215;0-13;Random bit-flip
__rhs;/usr/include/c++/7/bits/alloc_traits.h;504;4.09283185005188;0-13;Random bit-flip
result2;knapsackga.cpp;143;7.541372299194336;0-13;Random bit-flip
n;knapsackga.cpp;16;3.709207534790039;0-13;Random bit-flip
n;knapsackga.cpp;16;4.162002325057983;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;2.005697727203369;0-13;Random bit-flip
n;knapsackga.cpp;16;9.138242244720459;0-13;Random bit-flip
n;knapsackga.cpp;16;6.026250600814819;0-13;Random bit-flip
n;knapsackga.cpp;16;1.6197280883789062;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;0.8747963905334473;0-13;Random bit-flip
n;knapsackga.cpp;16;1.61149263381958;0-13;Random bit-flip
i;knapsackga.cpp;109;2.868342161178589;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;1.734041690826416;0-13;Random bit-flip
W;knapsackga.cpp;16;5.449971437454224;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;4.142060041427612;0-13;Random bit-flip
n;knapsackga.cpp;16;6.020085573196411;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;6.378364324569702;0-13;Random bit-flip
n;knapsackga.cpp;16;6.274277687072754;0-13;Random bit-flip
n;knapsackga.cpp;16;9.532421588897705;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;7.455209493637085;0-13;Random bit-flip
retval;random.c;289;3.6632001399993896;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;3.3460700511932373;0-13;Random bit-flip
pop;knapsackga.cpp;87;5.03606390953064;0-13;Random bit-flip
pop_size;knapsackga.cpp;17;2.4867103099823;0-13;Random bit-flip
n;knapsackga.cpp;16;2.912777900695801;0-13;Random bit-flip
W;knapsackga.cpp;16;2.5860707759857178;0-13;Random bit-flip
mae;knapsackga.cpp;101;9.24154543876648;0-13;Random bit-flip
n;knapsackga.cpp;16;3.202813148498535;0-13;Random bit-flip
