Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
i;knapsackga.cpp;61;1.941286325454712;0-13;Random bit-flip
i;knapsackga.cpp;61;1.5791056156158447;0-13;Random bit-flip
g;knapsackga.cpp;94;8.784897327423096;0-13;Random bit-flip
g;knapsackga.cpp;94;6.4388837814331055;0-13;Random bit-flip
g;knapsackga.cpp;94;1.643425703048706;0-13;Random bit-flip
g;knapsackga.cpp;94;3.179611921310425;0-13;Random bit-flip
n;knapsackga.cpp;16;4.777075529098511;0-13;Random bit-flip
n;knapsackga.cpp;16;0.638941764831543;0-13;Random bit-flip
n;knapsackga.cpp;16;5.25184440612793;0-13;Random bit-flip
g;knapsackga.cpp;94;4.546868562698364;0-13;Random bit-flip
g;knapsackga.cpp;94;3.2339255809783936;0-13;Random bit-flip
lock;random.c;197;11.793286323547363;0-13;Random bit-flip
lock;random.c;197;4.280566215515137;0-13;Random bit-flip
n;knapsackga.cpp;16;3.9456210136413574;0-13;Random bit-flip
g;knapsackga.cpp;94;0.9814951419830322;0-13;Random bit-flip
i;knapsackga.cpp;61;9.338937282562256;0-13;Random bit-flip
g;knapsackga.cpp;94;2.1085152626037598;0-13;Random bit-flip
g;knapsackga.cpp;94;1.5508623123168945;0-13;Random bit-flip
n;knapsackga.cpp;16;3.8154025077819824;0-13;Random bit-flip
n;knapsackga.cpp;16;4.270423650741577;0-13;Random bit-flip
n;knapsackga.cpp;16;9.329383373260498;0-13;Random bit-flip
g;knapsackga.cpp;94;11.826406240463257;0-13;Random bit-flip
g;knapsackga.cpp;94;3.468050003051758;0-13;Random bit-flip
lock;random.c;197;4.711312532424927;0-13;Random bit-flip
g;knapsackga.cpp;94;5.109241485595703;0-13;Random bit-flip
n;knapsackga.cpp;16;8.635947465896606;0-13;Random bit-flip
n;knapsackga.cpp;16;0.9656143188476562;0-13;Random bit-flip
lock;random.c;197;1.171757459640503;0-13;Single bit-flip
pop_size;knapsackga.cpp;17;3.546846866607666;0-13;Single bit-flip
pop_size;knapsackga.cpp;17;0.9440152645111084;0-13;Single bit-flip
pop_size;knapsackga.cpp;17;3.4210917949676514;0-13;Single bit-flip
n;knapsackga.cpp;16;3.0426530838012695;0-13;Single bit-flip
n;knapsackga.cpp;16;3.932196855545044;0-13;LSB bit-flip
g;knapsackga.cpp;94;3.2406864166259766;0-13;LSB bit-flip
n;knapsackga.cpp;16;4.279524087905884;0-13;LSB bit-flip
lock;random.c;197;2.629241943359375;0-13;LSB bit-flip
g;knapsackga.cpp;94;4.871870517730713;0-13;LSB bit-flip
n;knapsackga.cpp;16;2.799381732940674;0-13;LSB bit-flip
n;knapsackga.cpp;16;2.290419101715088;0-13;LSB bit-flip
g;knapsackga.cpp;94;3.5477194786071777;0-13;LSB bit-flip
n;knapsackga.cpp;16;3.3876161575317383;0-13;LSB bit-flip
g;knapsackga.cpp;94;0.8399450778961182;0-13;LSB bit-flip
__new_start;/usr/include/c++/7/bits/vector.tcc;406;4.871675729751587;0-13;LSB bit-flip
n;knapsackga.cpp;16;4.983623504638672;0-13;LSB bit-flip
n;knapsackga.cpp;16;7.67559814453125;0-13;LSB bit-flip
n;knapsackga.cpp;16;1.5304312705993652;0-13;LSB bit-flip
n;knapsackga.cpp;16;1.0206904411315918;0-13;LSB bit-flip
g;knapsackga.cpp;94;7.815736293792725;0-13;LSB bit-flip
n;knapsackga.cpp;16;5.127752304077148;0-13;Double bit-flip
n;knapsackga.cpp;16;4.2515246868133545;0-13;Double bit-flip
g;knapsackga.cpp;94;5.236127853393555;0-13;Double bit-flip
n;knapsackga.cpp;16;2.34407377243042;0-13;Double bit-flip
pop_size;knapsackga.cpp;17;6.503422260284424;0-13;Double bit-flip
n;knapsackga.cpp;16;5.309689044952393;0-13;Double bit-flip
g;knapsackga.cpp;94;5.816358804702759;0-13;Double bit-flip
n;knapsackga.cpp;16;4.605833292007446;0-13;Double bit-flip
n;knapsackga.cpp;16;5.427281141281128;0-13;Double bit-flip
pop_size;knapsackga.cpp;17;7.032175540924072;0-13;Double bit-flip
pop_size;knapsackga.cpp;17;4.416238784790039;0-13;Double bit-flip
n;knapsackga.cpp;16;7.305269956588745;0-13;Double bit-flip
n;knapsackga.cpp;16;0.6649158000946045;0-13;Double bit-flip
