Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
randtbl;random.c;146;4.206696033477783;0-13;Random bit-flip;1
W;knapsackga.cpp;16;5.248733758926392;0-13;Random bit-flip;1
W;knapsackga.cpp;16;2.253950834274292;0-13;Random bit-flip;1
W;knapsackga.cpp;16;2.5117220878601074;0-13;Random bit-flip;1
filho2;knapsackga.cpp;71;2.502037763595581;0-13;Random bit-flip;1
val;knapsackga.cpp;14;12.055729389190674;0-13;Random bit-flip;1
val;knapsackga.cpp;14;3.458885669708252;0-13;Random bit-flip;1
W;knapsackga.cpp;16;3.7108242511749268;0-13;Random bit-flip;1
W;knapsackga.cpp;16;4.974790811538696;0-13;Random bit-flip;1
W;knapsackga.cpp;16;7.6063454151153564;0-13;Random bit-flip;1
W;knapsackga.cpp;16;2.072597026824951;0-13;Random bit-flip;1
W;knapsackga.cpp;16;1.6001348495483398;0-13;Random bit-flip;1
W;knapsackga.cpp;16;8.47344160079956;0-13;Random bit-flip;1
wt;knapsackga.cpp;15;6.434895038604736;0-13;Random bit-flip;1
W;knapsackga.cpp;16;9.202037572860718;0-13;Random bit-flip;1
W;knapsackga.cpp;16;1.650545358657837;0-13;Random bit-flip;1
W;knapsackga.cpp;16;3.033975601196289;0-13;Random bit-flip;1
W;knapsackga.cpp;16;1.2884156703948975;0-13;Random bit-flip;1
W;knapsackga.cpp;16;1.8045568466186523;0-13;Random bit-flip;1
unsafe_state;random.c;160;4.69532585144043;0-13;Random bit-flip;1
W;knapsackga.cpp;16;2.5703608989715576;0-13;Random bit-flip;1
W;knapsackga.cpp;16;6.259836196899414;0-13;Random bit-flip;1
W;knapsackga.cpp;16;1.7391693592071533;0-13;Random bit-flip;1
W;knapsackga.cpp;16;2.4219045639038086;0-13;Random bit-flip;1
W;knapsackga.cpp;16;5.765949249267578;0-13;Random bit-flip;1
W;knapsackga.cpp;16;4.067060708999634;0-13;Random bit-flip;1
W;knapsackga.cpp;16;10.127146005630493;0-13;Random bit-flip;1
W;knapsackga.cpp;16;3.3274314403533936;0-13;Random bit-flip;1
W;knapsackga.cpp;16;8.033092975616455;0-13;Random bit-flip;1
wt;knapsackga.cpp;15;2.864610195159912;0-13;Random bit-flip;1
W;knapsackga.cpp;16;1.671065330505371;0-13;Random bit-flip;1
W;knapsackga.cpp;16;1.6647453308105469;0-13;Random bit-flip;1
wt;knapsackga.cpp;15;1.7295215129852295;0-13;Random bit-flip;1
W;knapsackga.cpp;16;5.8387978076934814;0-13;Random bit-flip;1
W;knapsackga.cpp;16;7.6658971309661865;0-13;Random bit-flip;1
randtbl;random.c;146;1.2773852348327637;0-13;Random bit-flip;1
W;knapsackga.cpp;16;1.2793476581573486;0-13;Random bit-flip;1
W;knapsackga.cpp;16;5.877971887588501;0-13;Random bit-flip;1
W;knapsackga.cpp;16;3.2699975967407227;0-13;Random bit-flip;1
val;knapsackga.cpp;14;8.66572642326355;0-13;Random bit-flip;1
unsafe_state;random.c;160;4.603939533233643;0-13;Random bit-flip;1
W;knapsackga.cpp;16;2.718093156814575;0-13;Random bit-flip;1
W;knapsackga.cpp;16;1.611227035522461;0-13;Random bit-flip;1
