Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
V;knapsackmf.cpp;38;3.9000020027160645;0-12;Random bit-flip
j;knapsackmf.cpp;38;4.3979878425598145;0-12;Random bit-flip
V;knapsackmf.cpp;38;3.646376132965088;0-12;Random bit-flip
V;knapsackmf.cpp;38;4.69445276260376;0-12;Random bit-flip
i;knapsackmf.cpp;38;3.8016552925109863;0-12;Random bit-flip
i;knapsackmf.cpp;38;5.0439677238464355;0-12;Random bit-flip
i;knapsackmf.cpp;38;2.614062786102295;0-12;Random bit-flip
values;knapsackmf.cpp;38;4.924941778182983;0-12;Random bit-flip
i;knapsackmf.cpp;38;6.407531261444092;0-12;Random bit-flip
i;knapsackmf.cpp;38;5.848719120025635;0-12;Random bit-flip
i;knapsackmf.cpp;38;9.091566562652588;0-12;Random bit-flip
i;knapsackmf.cpp;38;2.358224630355835;0-12;Random bit-flip
i;knapsackmf.cpp;38;2.410628080368042;0-12;Random bit-flip
value;knapsackmf.cpp;39;3.7094051837921143;0-12;Random bit-flip
i;knapsackmf.cpp;38;2.515644073486328;0-12;Random bit-flip
weights;knapsackmf.cpp;38;4.191177845001221;0-12;Random bit-flip
value;knapsackmf.cpp;39;8.93378758430481;0-12;Random bit-flip
j;knapsackmf.cpp;38;2.761070966720581;0-12;Random bit-flip
j;knapsackmf.cpp;38;2.6045076847076416;0-12;Random bit-flip
value;knapsackmf.cpp;39;2.417876958847046;0-12;Random bit-flip
j;knapsackmf.cpp;38;8.883954763412476;0-12;Random bit-flip
result2;knapsackmf.cpp;82;4.826049089431763;0-12;Random bit-flip
i;knapsackmf.cpp;38;3.1450083255767822;0-12;Random bit-flip
j;knapsackmf.cpp;38;7.313750743865967;0-12;Random bit-flip
i;knapsackmf.cpp;38;7.063165664672852;0-12;Random bit-flip
i;knapsackmf.cpp;38;4.881300210952759;0-12;Random bit-flip
values;knapsackmf.cpp;38;4.171810150146484;0-12;Random bit-flip
i;knapsackmf.cpp;38;2.321950912475586;0-12;Random bit-flip
value;knapsackmf.cpp;39;7.438530921936035;0-12;Random bit-flip
i;knapsackmf.cpp;38;2.3475189208984375;0-12;Random bit-flip
j;knapsackmf.cpp;38;2.230867385864258;0-12;Random bit-flip
value;knapsackmf.cpp;39;3.7093873023986816;0-12;Random bit-flip
V;knapsackmf.cpp;38;4.642979621887207;0-12;Random bit-flip
j;knapsackmf.cpp;38;6.399051666259766;0-12;Random bit-flip
V;knapsackmf.cpp;38;8.373234748840332;0-12;Random bit-flip
j;knapsackmf.cpp;38;2.6969876289367676;0-12;Random bit-flip
i;knapsackmf.cpp;38;5.179238557815552;0-12;Random bit-flip
this;knapsackmf.cpp;0;0.9003818035125732;0-12;Random bit-flip
i;knapsackmf.cpp;38;3.425664186477661;0-12;Random bit-flip
j;knapsackmf.cpp;38;3.0008838176727295;0-12;Random bit-flip
i;knapsackmf.cpp;38;3.1553850173950195;0-12;Random bit-flip
j;knapsackmf.cpp;38;7.79392409324646;0-12;Random bit-flip
value;knapsackmf.cpp;39;8.035303354263306;0-12;Random bit-flip
this;knapsackmf.cpp;0;1.3503608703613281;0-12;Random bit-flip
i;knapsackmf.cpp;38;3.2852444648742676;0-12;Random bit-flip
value;knapsackmf.cpp;39;2.5963048934936523;0-12;Random bit-flip
value;knapsackmf.cpp;39;5.267687082290649;0-12;Random bit-flip
i;knapsackmf.cpp;38;5.176900863647461;0-12;Random bit-flip
value;knapsackmf.cpp;39;4.048219442367554;0-12;Random bit-flip
i;knapsackmf.cpp;23;1.1245076656341553;0-12;Random bit-flip
value;knapsackmf.cpp;39;4.2663373947143555;0-12;Random bit-flip
i;knapsackmf.cpp;38;3.9183926582336426;0-12;Random bit-flip
i;knapsackmf.cpp;38;7.146216869354248;0-12;Random bit-flip
set;../sysdeps/unix/sysv/linux/raise.c;39;10.140501260757446;0-12;Random bit-flip
V;knapsackmf.cpp;38;2.466806173324585;0-12;Random bit-flip
i;knapsackmf.cpp;38;1.7716624736785889;0-12;Random bit-flip
j;knapsackmf.cpp;38;4.802530527114868;0-12;Random bit-flip
j;knapsackmf.cpp;38;3.94704532623291;0-12;Random bit-flip
j;knapsackmf.cpp;38;6.674371004104614;0-12;Random bit-flip
i;knapsackmf.cpp;20;0.8138446807861328;0-12;Random bit-flip
j;knapsackmf.cpp;38;4.406752824783325;0-12;Random bit-flip
j;knapsackmf.cpp;38;4.773576498031616;0-12;Random bit-flip
j;knapsackmf.cpp;38;3.668503522872925;0-12;Random bit-flip
value;knapsackmf.cpp;39;2.7523021697998047;0-12;Random bit-flip
i;knapsackmf.cpp;38;2.06052827835083;0-12;Random bit-flip
j;knapsackmf.cpp;38;1.6623518466949463;0-12;Random bit-flip
i;knapsackmf.cpp;38;4.887234210968018;0-12;Random bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;4.49899435043335;0-12;Random bit-flip
i;knapsackmf.cpp;38;1.2808573246002197;0-12;Random bit-flip
i;knapsackmf.cpp;38;2.2983880043029785;0-12;Random bit-flip
value;knapsackmf.cpp;39;2.441240072250366;0-12;Random bit-flip
i;knapsackmf.cpp;38;4.3040149211883545;0-12;Random bit-flip
V;knapsackmf.cpp;60;1.7447552680969238;0-12;Random bit-flip
j;knapsackmf.cpp;38;1.4948310852050781;0-12;Random bit-flip
W;knapsackmf.cpp;16;1.7483489513397217;0-12;Random bit-flip
value;knapsackmf.cpp;39;8.557217121124268;0-12;Random bit-flip
j;knapsackmf.cpp;38;6.55131721496582;0-12;Random bit-flip
i;knapsackmf.cpp;38;7.5116236209869385;0-12;Random bit-flip
value;knapsackmf.cpp;39;3.943228244781494;0-12;Random bit-flip
this;knapsackmf.cpp;0;1.6169593334197998;0-12;Random bit-flip
_dl_skip_args;rtld.c;84;0.3496415615081787;0-12;Random bit-flip
value;knapsackmf.cpp;39;7.690470457077026;0-12;Random bit-flip
i;knapsackmf.cpp;38;7.863811016082764;0-12;Random bit-flip
j;knapsackmf.cpp;38;1.8127663135528564;0-12;Random bit-flip
value;knapsackmf.cpp;39;1.4023351669311523;0-12;Random bit-flip
V;knapsackmf.cpp;16;6.8156208992004395;0-12;Random bit-flip
value;knapsackmf.cpp;39;2.621426582336426;0-12;Random bit-flip
values;knapsackmf.cpp;38;3.822213649749756;0-12;Random bit-flip
j;knapsackmf.cpp;38;2.7063300609588623;0-12;Random bit-flip
i;knapsackmf.cpp;38;4.01318883895874;0-12;Random bit-flip
i;knapsackmf.cpp;38;2.0107274055480957;0-12;Random bit-flip
i;knapsackmf.cpp;38;2.008589029312134;0-12;Random bit-flip
i;knapsackmf.cpp;38;9.025374412536621;0-12;Random bit-flip
j;knapsackmf.cpp;38;2.6552863121032715;0-12;Random bit-flip
i;knapsackmf.cpp;23;5.972858905792236;0-12;Random bit-flip
V;knapsackmf.cpp;38;9.532383441925049;0-12;Random bit-flip
i;knapsackmf.cpp;38;8.21397089958191;0-12;Random bit-flip
j;knapsackmf.cpp;38;3.8197388648986816;0-12;Random bit-flip
n;knapsackmf.cpp;16;5.97669792175293;0-12;Random bit-flip
j;knapsackmf.cpp;38;3.0558738708496094;0-12;Random bit-flip
j;knapsackmf.cpp;38;2.318692445755005;0-12;Random bit-flip
n;knapsackmf.cpp;16;1.1117236614227295;0-12;Random bit-flip
j;knapsackmf.cpp;38;4.827635765075684;0-12;Random bit-flip
value;knapsackmf.cpp;39;7.128137588500977;0-12;Random bit-flip
j;knapsackmf.cpp;38;6.837875127792358;0-12;Random bit-flip
j;knapsackmf.cpp;38;5.443900108337402;0-12;Random bit-flip
i;knapsackmf.cpp;38;2.76642107963562;0-12;Random bit-flip
