Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
values;knapsackmf.cpp;16;0.900545597076416;0-12;Random bit-flip;0
result1;knapsackmf.cpp;81;5.529238939285278;0-12;Random bit-flip;1
result1;knapsackmf.cpp;81;5.853079319000244;0-12;Random bit-flip;1
w;knapsackmf.cpp;24;5.631260871887207;0-12;Random bit-flip;1
w;knapsackmf.cpp;24;0.9722697734832764;0-12;Random bit-flip;1
values;knapsackmf.cpp;38;2.263162612915039;0-12;Random bit-flip;1
w;knapsackmf.cpp;24;1.5445127487182617;0-12;Random bit-flip;1
w;knapsackmf.cpp;24;1.0464437007904053;0-12;Random bit-flip;1
values;knapsackmf.cpp;38;4.656870365142822;0-12;Random bit-flip;1
result1;knapsackmf.cpp;81;5.818935394287109;0-12;Random bit-flip;1
w;knapsackmf.cpp;24;1.8660354614257812;0-12;Random bit-flip;1
j;knapsackmf.cpp;38;1.88376784324646;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;2.384140968322754;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;4.302313327789307;0-12;LSB bit-flip;1
result1;knapsackmf.cpp;81;8.225141286849976;0-12;LSB bit-flip;1
values;knapsackmf.cpp;38;4.82383131980896;0-12;LSB bit-flip;1
result1;knapsackmf.cpp;81;6.397746801376343;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;1.6678812503814697;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;1.8319623470306396;0-12;LSB bit-flip;1
result1;knapsackmf.cpp;81;6.379608392715454;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;3.042072296142578;0-12;LSB bit-flip;1
values;knapsackmf.cpp;38;3.3426403999328613;0-12;LSB bit-flip;1
result1;knapsackmf.cpp;81;10.204928398132324;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;2.6795341968536377;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;1.4396297931671143;0-12;LSB bit-flip;1
values;knapsackmf.cpp;38;4.3072898387908936;0-12;LSB bit-flip;1
values;knapsackmf.cpp;38;5.384117364883423;0-12;LSB bit-flip;1
w;knapsackmf.cpp;24;0.9137437343597412;0-12;LSB bit-flip;1
w;knapsackmf.cpp;24;6.3808252811431885;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;2.5912816524505615;0-12;LSB bit-flip;1
result1;knapsackmf.cpp;81;6.308711767196655;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;3.752830743789673;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;3.9662396907806396;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;1.3470137119293213;0-12;LSB bit-flip;1
result1;knapsackmf.cpp;81;6.298910140991211;0-12;LSB bit-flip;1
__a;/usr/include/c++/7/bits/stl_algobase.h;219;3.001403331756592;0-12;LSB bit-flip;1
values;knapsackmf.cpp;38;3.3253660202026367;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;3.6289806365966797;0-12;LSB bit-flip;1
j;knapsackmf.cpp;38;2.6131041049957275;0-12;LSB bit-flip;1
i;knapsackmf.cpp;38;2.2718265056610107;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.5470821857452393;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;5.746157884597778;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;4.985685110092163;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;7.088039875030518;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.3992371559143066;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;7.231591701507568;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.2744321823120117;0-12;Zero bit-flip;1
result1;knapsackmf.cpp;81;6.276099443435669;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;4.527672529220581;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;5.116272687911987;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;4.8809826374053955;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;4.176442623138428;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;8.554611444473267;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;6.335404396057129;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;1.620701789855957;0-12;Zero bit-flip;1
result1;knapsackmf.cpp;81;6.286615610122681;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;5.415643215179443;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;4.130299806594849;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;4.1845762729644775;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;4.181201219558716;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.8790316581726074;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.744697093963623;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;1.0946097373962402;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;0.6652553081512451;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;2.927525281906128;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;7.315086126327515;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;2.847231149673462;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;2.8406920433044434;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;2.1842904090881348;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;7.320021867752075;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;1.4281723499298096;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;2.6264169216156006;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;6.478367805480957;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;2.8618483543395996;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;1.2422294616699219;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;6.572913646697998;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;1.501800537109375;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;9.057086706161499;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;3.9639439582824707;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;6.4693238735198975;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;0.6578211784362793;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;4.744096279144287;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;6.579257249832153;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;7.828808784484863;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.588902711868286;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;5.525210380554199;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.693883180618286;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.5953426361083984;0-12;Zero bit-flip;1
result1;knapsackmf.cpp;81;6.187288761138916;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.0714752674102783;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;1.617680549621582;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;4.474461078643799;0-12;Zero bit-flip;1
result1;knapsackmf.cpp;81;6.422554969787598;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.422860622406006;0-12;Zero bit-flip;1
j;knapsackmf.cpp;38;2.734431743621826;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;6.043663024902344;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;1.354356288909912;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;2.5456466674804688;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.1264147758483887;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;0.8548424243927002;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;7.028277158737183;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;1.1050834655761719;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;1.5534985065460205;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;1.3276524543762207;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;0.48999691009521484;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.433258295059204;0-12;Zero bit-flip;1
i;knapsackmf.cpp;38;3.8198840618133545;0-12;Zero bit-flip;1
W;knapsackmf.cpp;16;1.2806658744812012;0-12;Zero bit-flip;1
n;knapsackmf.cpp;16;1.590726375579834;0-12;Zero bit-flip;1
values;knapsackmf.cpp;58;0.8820254802703857;0-12;Double bit-flip;0
values;knapsackmf.cpp;16;0.9485387802124023;0-12;Double bit-flip;0
j;knapsackmf.cpp;38;2.2796308994293213;0-12;Double bit-flip;1
i;knapsackmf.cpp;38;3.4572741985321045;0-12;Double bit-flip;1
w;knapsackmf.cpp;24;6.389663219451904;0-12;Double bit-flip;1
W;knapsackmf.cpp;16;0.9848546981811523;0-12;Double bit-flip;1
result1;knapsackmf.cpp;81;7.746765851974487;0-12;Double bit-flip;1
W;knapsackmf.cpp;16;0.7489597797393799;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;2.101442813873291;0-12;Double bit-flip;1
values;knapsackmf.cpp;38;5.231582164764404;0-12;Double bit-flip;1
values;knapsackmf.cpp;16;2.9981932640075684;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;3.164741277694702;0-12;Double bit-flip;1
values;knapsackmf.cpp;16;5.351738929748535;0-12;Double bit-flip;1
result1;knapsackmf.cpp;81;6.617574453353882;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;4.488185167312622;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;2.3923189640045166;0-12;Double bit-flip;1
w;knapsackmf.cpp;24;1.6622705459594727;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;2.820295572280884;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;3.5764684677124023;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;5.064403533935547;0-12;Double bit-flip;1
values;knapsackmf.cpp;38;4.3873841762542725;0-12;Double bit-flip;1
result1;knapsackmf.cpp;81;6.288457155227661;0-12;Double bit-flip;1
i;knapsackmf.cpp;38;8.129891872406006;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;2.000548839569092;0-12;Double bit-flip;1
result1;knapsackmf.cpp;81;6.4676148891448975;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;3.336549997329712;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;3.562546968460083;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;8.057955503463745;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;1.451979160308838;0-12;Double bit-flip;1
values;knapsackmf.cpp;38;4.757507801055908;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;4.665668964385986;0-12;Double bit-flip;1
result1;knapsackmf.cpp;81;6.655203104019165;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;3.7133259773254395;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;5.231468200683594;0-12;Double bit-flip;1
values;knapsackmf.cpp;38;1.7851967811584473;0-12;Double bit-flip;1
w;knapsackmf.cpp;24;1.5234014987945557;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;8.155349016189575;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;5.1269776821136475;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;3.4089291095733643;0-12;Double bit-flip;1
values;knapsackmf.cpp;38;3.755936861038208;0-12;Double bit-flip;1
result1;knapsackmf.cpp;81;6.750183343887329;0-12;Double bit-flip;1
i;knapsackmf.cpp;38;3.4658100605010986;0-12;Double bit-flip;1
values;knapsackmf.cpp;38;3.5654637813568115;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;2.195101737976074;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;1.9475457668304443;0-12;Double bit-flip;1
i;knapsackmf.cpp;38;1.5895874500274658;0-12;Double bit-flip;1
W;knapsackmf.cpp;16;0.9665341377258301;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;4.346497058868408;0-12;Double bit-flip;1
i;knapsackmf.cpp;23;5.950471639633179;0-12;Double bit-flip;1
j;knapsackmf.cpp;38;3.3845531940460205;0-12;Double bit-flip;1
values;knapsackmf.cpp;16;0.99440598487854;0-12;Single bit-flip;0
j;knapsackmf.cpp;38;3.594512939453125;0-12;Single bit-flip;1
i;knapsackmf.cpp;38;1.8683760166168213;0-12;Single bit-flip;1
result1;knapsackmf.cpp;81;6.452823877334595;0-12;Single bit-flip;1
n;knapsackmf.cpp;16;1.0194306373596191;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;4.191764831542969;0-12;Single bit-flip;1
n;knapsackmf.cpp;16;6.185424566268921;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;1.7841465473175049;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;3.8828413486480713;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;3.0121724605560303;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;2.338155746459961;0-12;Single bit-flip;1
W;knapsackmf.cpp;16;0.5758297443389893;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;1.9475374221801758;0-12;Single bit-flip;1
w;knapsackmf.cpp;24;1.3461663722991943;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;1.4940528869628906;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;4.086648941040039;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;4.308273077011108;0-12;Single bit-flip;1
values;knapsackmf.cpp;38;3.577131509780884;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;2.2206923961639404;0-12;Single bit-flip;1
values;knapsackmf.cpp;38;4.227990627288818;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;3.8604090213775635;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;4.037421226501465;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;5.910315036773682;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;4.222494125366211;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;4.987576484680176;0-12;Single bit-flip;1
result1;knapsackmf.cpp;81;5.9517576694488525;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;2.9010751247406006;0-12;Single bit-flip;1
W;knapsackmf.cpp;16;1.6147723197937012;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;3.5835394859313965;0-12;Single bit-flip;1
W;knapsackmf.cpp;16;1.094531536102295;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;2.909924268722534;0-12;Single bit-flip;1
result1;knapsackmf.cpp;81;5.783964157104492;0-12;Single bit-flip;1
values;knapsackmf.cpp;38;5.366283893585205;0-12;Single bit-flip;1
w;knapsackmf.cpp;24;6.394517660140991;0-12;Single bit-flip;1
result1;knapsackmf.cpp;81;5.63518500328064;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;7.235386610031128;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;2.3316946029663086;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;3.294719696044922;0-12;Single bit-flip;1
values;knapsackmf.cpp;16;5.827789306640625;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;3.1919620037078857;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;2.950444459915161;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;2.9533591270446777;0-12;Single bit-flip;1
values;knapsackmf.cpp;38;1.7983319759368896;0-12;Single bit-flip;1
j;knapsackmf.cpp;38;2.013526201248169;0-12;Single bit-flip;1
