Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
val;knapsacksa.cpp;13;1.4589707851409912;0-7;Single bit-flip
best;knapsacksa.cpp;43;2.726745128631592;0-7;Single bit-flip
n;knapsacksa.cpp;15;2.909008741378784;0-7;Single bit-flip
solution;knapsacksa.cpp;40;1.7428059577941895;0-7;Single bit-flip
n;knapsacksa.cpp;15;3.3096017837524414;0-7;Single bit-flip
__GI__dl_argv;rtld.c;83;0.8785433769226074;0-7;Single bit-flip
result2;knapsacksa.cpp;87;1.4062376022338867;0-7;Single bit-flip
val;knapsacksa.cpp;13;2.3743820190429688;0-7;Single bit-flip
n;knapsacksa.cpp;15;4.542670488357544;0-7;Single bit-flip
s;knapsacksa.cpp;49;2.5713207721710205;0-7;Single bit-flip
n;knapsacksa.cpp;15;3.6777102947235107;0-7;Single bit-flip
n;knapsacksa.cpp;15;2.682648181915283;0-7;Single bit-flip
i;knapsacksa.cpp;27;3.455832004547119;0-7;Single bit-flip
solution;knapsacksa.cpp;25;1.432194709777832;0-7;Single bit-flip
s;knapsacksa.cpp;49;1.865373134613037;0-7;Single bit-flip
n;knapsacksa.cpp;15;5.5256969928741455;0-7;Single bit-flip
n;knapsacksa.cpp;15;6.46596884727478;0-7;Single bit-flip
result1;knapsacksa.cpp;85;0.7437000274658203;0-7;Single bit-flip
t;knapsacksa.cpp;48;1.8122427463531494;0-7;Single bit-flip
val;knapsacksa.cpp;13;3.2070541381835938;0-7;Single bit-flip
n;knapsacksa.cpp;15;2.2739663124084473;0-7;Single bit-flip
solution;knapsacksa.cpp;25;3.701050043106079;0-7;Single bit-flip
solution;knapsacksa.cpp;40;3.5481512546539307;0-7;Single bit-flip
wt;knapsacksa.cpp;14;5.9742591381073;0-7;Single bit-flip
solution;knapsacksa.cpp;25;4.374817132949829;0-7;Single bit-flip
n;knapsacksa.cpp;15;1.4523184299468994;0-7;Single bit-flip
