Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
result1;knapsacksa.cpp;85;3.5017614364624023;0-7;Single bit-flip
n;knapsacksa.cpp;15;1.9672038555145264;0-7;Single bit-flip
n;knapsacksa.cpp;15;5.41629433631897;0-7;Single bit-flip
n;knapsacksa.cpp;15;4.780481815338135;0-7;Single bit-flip
n;knapsacksa.cpp;15;1.5168571472167969;0-7;Single bit-flip
n;knapsacksa.cpp;15;0.7666823863983154;0-7;Single bit-flip
n;knapsacksa.cpp;15;1.8821961879730225;0-7;Single bit-flip
n;knapsacksa.cpp;15;1.5726654529571533;0-7;Single bit-flip
n;knapsacksa.cpp;15;1.767420768737793;0-7;Single bit-flip
n;knapsacksa.cpp;15;1.351539134979248;0-7;Single bit-flip
n;knapsacksa.cpp;15;1.5994627475738525;0-7;Single bit-flip
n;knapsacksa.cpp;15;1.1257514953613281;0-7;Single bit-flip
n;knapsacksa.cpp;15;2.0458295345306396;0-7;Single bit-flip
t;knapsacksa.cpp;48;1.3329002857208252;0-7;Random bit-flip
t;knapsacksa.cpp;48;0.9048902988433838;0-7;Random bit-flip
t;knapsacksa.cpp;48;1.2322697639465332;0-7;Random bit-flip
t;knapsacksa.cpp;48;3.74345326423645;0-7;Random bit-flip
t;knapsacksa.cpp;48;2.1903727054595947;0-7;Random bit-flip
t;knapsacksa.cpp;48;2.5990424156188965;0-7;Random bit-flip
t;knapsacksa.cpp;48;2.7291860580444336;0-7;Random bit-flip
t;knapsacksa.cpp;48;3.479078769683838;0-7;Random bit-flip
t;knapsacksa.cpp;48;0.7213850021362305;0-7;Random bit-flip
t;knapsacksa.cpp;48;2.562558174133301;0-7;Random bit-flip
t;knapsacksa.cpp;48;4.309820652008057;0-7;Random bit-flip
t;knapsacksa.cpp;48;2.027315616607666;0-7;Random bit-flip
t;knapsacksa.cpp;48;2.2270750999450684;0-7;Random bit-flip
t;knapsacksa.cpp;48;1.6384525299072266;0-7;Random bit-flip
t;knapsacksa.cpp;48;1.334059238433838;0-7;Random bit-flip
t;knapsacksa.cpp;48;1.5900835990905762;0-7;Random bit-flip
t;knapsacksa.cpp;48;2.6351513862609863;0-7;Random bit-flip
n;knapsacksa.cpp;15;1.3929755687713623;0-7;Double bit-flip
n;knapsacksa.cpp;15;3.17360520362854;0-7;Double bit-flip
n;knapsacksa.cpp;15;2.4071855545043945;0-7;Double bit-flip
n;knapsacksa.cpp;15;0.6230413913726807;0-7;Double bit-flip
n;knapsacksa.cpp;15;5.195592641830444;0-7;Double bit-flip
n;knapsacksa.cpp;15;6.222131013870239;0-7;Double bit-flip
n;knapsacksa.cpp;15;3.4691832065582275;0-7;Double bit-flip
n;knapsacksa.cpp;15;1.0653655529022217;0-7;Double bit-flip
t;knapsacksa.cpp;48;2.2244198322296143;0-7;Double bit-flip
n;knapsacksa.cpp;15;3.713884115219116;0-7;Double bit-flip
t;knapsacksa.cpp;48;2.261714220046997;0-7;LSB bit-flip
t;knapsacksa.cpp;48;2.080894947052002;0-7;LSB bit-flip
t;knapsacksa.cpp;48;3.402432680130005;0-7;LSB bit-flip
t;knapsacksa.cpp;48;1.9753525257110596;0-7;LSB bit-flip
t;knapsacksa.cpp;48;1.506272554397583;0-7;LSB bit-flip
