Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
W;knapsacksa.cpp;15;4.757916450500488;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.6072919368743896;0-7;Single bit-flip;1
peso;knapsacksa.cpp;26;1.2175836563110352;0-7;Single bit-flip;1
val;knapsacksa.cpp;13;1.4718186855316162;0-7;Single bit-flip;1
valor;knapsacksa.cpp;26;5.828892946243286;0-7;Single bit-flip;1
n;knapsacksa.cpp;15;1.515101671218872;0-7;Single bit-flip;1
wt;knapsacksa.cpp;14;1.5556230545043945;0-7;Single bit-flip;1
wt;knapsacksa.cpp;14;1.3883366584777832;0-7;Single bit-flip;1
valor;knapsacksa.cpp;26;3.470954656600952;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;2.964999198913574;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;0.984001874923706;0-7;Single bit-flip;1
temp;knapsacksa.cpp;44;2.1102166175842285;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.4824881553649902;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.2712082862854004;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.3910179138183594;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.3265092372894287;0-7;Single bit-flip;1
temp;knapsacksa.cpp;44;1.9048242568969727;0-7;Single bit-flip;1
valor;knapsacksa.cpp;26;1.205033302307129;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;3.0061075687408447;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;0.7238399982452393;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;5.671459436416626;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;3.2737069129943848;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;0.5772325992584229;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.5948636531829834;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;2.344862699508667;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;0.6421504020690918;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;4.849825859069824;0-7;Single bit-flip;1
temp;knapsacksa.cpp;44;0.9568440914154053;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;2.3330392837524414;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;0.8163802623748779;0-7;Single bit-flip;1
n;knapsacksa.cpp;15;1.1854827404022217;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.3713998794555664;0-7;Single bit-flip;1
temp;knapsacksa.cpp;44;1.1627540588378906;0-7;Single bit-flip;1
temp;knapsacksa.cpp;44;1.1366140842437744;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;1.26702880859375;0-7;Single bit-flip;1
i;knapsacksa.cpp;27;1.4021837711334229;0-7;Single bit-flip;1
wt;knapsacksa.cpp;14;1.2290749549865723;0-7;Single bit-flip;1
temp;knapsacksa.cpp;44;1.7616970539093018;0-7;Single bit-flip;1
valor;knapsacksa.cpp;26;5.78185248374939;0-7;Single bit-flip;1
n;knapsacksa.cpp;15;4.760018348693848;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;3.051417112350464;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;2.091057300567627;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.374321699142456;0-7;Single bit-flip;1
__first;/usr/include/c++/7/bits/stl_uninitialized.h;287;1.9434378147125244;0-7;Single bit-flip;1
i;knapsacksa.cpp;27;1.2690386772155762;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;0.46730589866638184;0-7;Single bit-flip;1
temp;knapsacksa.cpp;44;1.1752331256866455;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.3171982765197754;0-7;Single bit-flip;1
val;knapsacksa.cpp;13;1.3458383083343506;0-7;Single bit-flip;1
temp;knapsacksa.cpp;44;5.417093515396118;0-7;Single bit-flip;1
result1;knapsacksa.cpp;85;5.046701192855835;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;0.6336238384246826;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.1719725131988525;0-7;Single bit-flip;1
temp;knapsacksa.cpp;44;1.803257703781128;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;0.8191623687744141;0-7;Single bit-flip;1
wt;knapsacksa.cpp;14;5.07881760597229;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.623936414718628;0-7;Single bit-flip;1
valor;knapsacksa.cpp;26;0.7084226608276367;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.393141746520996;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;1.6128721237182617;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;1.2619538307189941;0-7;Single bit-flip;1
wt;knapsacksa.cpp;14;1.3979623317718506;0-7;Single bit-flip;1
val;knapsacksa.cpp;13;1.794215440750122;0-7;Single bit-flip;1
valor;knapsacksa.cpp;26;1.1363513469696045;0-7;Single bit-flip;1
t;knapsacksa.cpp;48;2.216322422027588;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;2.21551513671875;0-7;Single bit-flip;1
wt;knapsacksa.cpp;14;0.9308934211730957;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;2.423062801361084;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.6042585372924805;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;2.352008104324341;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.756474256515503;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.248060941696167;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.344142198562622;0-7;Single bit-flip;1
n;knapsacksa.cpp;15;2.1684374809265137;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;2.167201519012451;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.015826940536499;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.2887840270996094;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;2.0788280963897705;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;3.724351406097412;0-7;Single bit-flip;1
n;knapsacksa.cpp;15;1.403418779373169;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.6174745559692383;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;0.7729167938232422;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.8957960605621338;0-7;Single bit-flip;1
peso;knapsacksa.cpp;26;1.0265297889709473;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;4.916907072067261;0-7;Single bit-flip;1
i;knapsacksa.cpp;27;2.351339101791382;0-7;Single bit-flip;1
t;knapsacksa.cpp;48;1.4538426399230957;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;5.729413986206055;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.9776854515075684;0-7;Single bit-flip;1
s;knapsacksa.cpp;49;3.0282506942749023;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;3.6065804958343506;0-7;Single bit-flip;1
val;knapsacksa.cpp;13;1.1983771324157715;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;3.171685218811035;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.978154182434082;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.3701064586639404;0-7;Single bit-flip;1
t;knapsacksa.cpp;48;0.6130473613739014;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;1.6738555431365967;0-7;Single bit-flip;1
val;knapsacksa.cpp;13;2.5300467014312744;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;0.7838900089263916;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.680640697479248;0-7;Single bit-flip;1
temp;knapsacksa.cpp;44;2.5220863819122314;0-7;Single bit-flip;1
i;knapsacksa.cpp;50;1.0344789028167725;0-7;Single bit-flip;1
temp;knapsacksa.cpp;44;1.2658500671386719;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;0.7176547050476074;0-7;Single bit-flip;1
val;knapsacksa.cpp;13;0.9045393466949463;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;2.0612754821777344;0-7;Single bit-flip;1
i;knapsacksa.cpp;27;1.3166017532348633;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;2.342789649963379;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;2.108335256576538;0-7;Single bit-flip;1
i;knapsacksa.cpp;27;1.7979588508605957;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;5.12005352973938;0-7;Single bit-flip;1
val;knapsacksa.cpp;13;4.759588241577148;0-7;Single bit-flip;1
valor;knapsacksa.cpp;26;1.3951849937438965;0-7;Single bit-flip;1
best;knapsacksa.cpp;43;6.003242492675781;0-7;Single bit-flip;1
this;knapsacksa.cpp;0;5.329184055328369;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;1.5753026008605957;0-7;Single bit-flip;1
W;knapsacksa.cpp;15;2.2333996295928955;0-7;Single bit-flip;1
i;knapsacksa.cpp;27;1.168799638748169;0-7;Single bit-flip;1
val;knapsacksa.cpp;13;1.9271137714385986;0-7;Single bit-flip;1
