Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
pop_size;knapsackga.cpp;17;2.2792162895202637;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.4097011089324951;1-3.5;Double bit-flip
__args#0;/usr/include/c++/7/ext/new_allocator.h;135;1.5955665111541748;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.48639178276062;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.4034464359283447;1-3.5;Double bit-flip
pai;knapsackga.cpp;71;1.690441370010376;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.935661792755127;1-3.5;Double bit-flip
__elems_before;/usr/include/c++/7/bits/vector.tcc;405;2.474027156829834;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.2331717014312744;1-3.5;Double bit-flip
wt;knapsackga.cpp;15;2.4743645191192627;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.5195624828338623;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.465334415435791;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.764606475830078;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.597740650177002;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.9618289470672607;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.044586181640625;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.719937801361084;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.5293159484863281;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.2188823223114014;1-3.5;Double bit-flip
best;knapsackga.cpp;92;4.188944339752197;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.3040013313293457;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.8264036178588867;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.401028633117676;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.8779680728912354;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.2898399829864502;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.2143778800964355;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.8547179698944092;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.299022912979126;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.7200052738189697;1-3.5;Double bit-flip
mae;knapsackga.cpp;101;2.674553632736206;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.292210578918457;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.3418827056884766;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.1239049434661865;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.2493791580200195;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;3.0070695877075195;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.016489028930664;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.8101677894592285;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.577458143234253;1-3.5;Double bit-flip
best;knapsackga.cpp;92;1.9570984840393066;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.7183868885040283;1-3.5;Double bit-flip
__new_start;/usr/include/c++/7/bits/vector.tcc;406;2.359337329864502;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.32729172706604;1-3.5;Double bit-flip
wt;knapsackga.cpp;15;2.079503297805786;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.599060297012329;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;3.199688673019409;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.0184504985809326;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.429711103439331;1-3.5;Double bit-flip
n;knapsackga.cpp;16;3.7261645793914795;1-3.5;Double bit-flip
filho1;knapsackga.cpp;101;2.2832648754119873;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.9376442432403564;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.7176718711853027;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.7556328773498535;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.5586190223693848;1-3.5;Double bit-flip
i;knapsackga.cpp;25;3.168219566345215;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.567934513092041;1-3.5;Double bit-flip
n;knapsackga.cpp;16;3.3821568489074707;1-3.5;Double bit-flip
filho1;knapsackga.cpp;71;2.479379892349243;1-3.5;Double bit-flip
filho2;knapsackga.cpp;101;2.7407033443450928;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.2528810501098633;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.5880417823791504;1-3.5;Double bit-flip
__first;/usr/include/c++/7/bits/stl_uninitialized.h;115;3.6200101375579834;1-3.5;Double bit-flip
g;knapsackga.cpp;94;1.641798734664917;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.0861923694610596;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.7122409343719482;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.7453298568725586;1-3.5;Double bit-flip
filho1;knapsackga.cpp;101;1.661022424697876;1-3.5;Double bit-flip
__args#0;/usr/include/c++/7/bits/alloc_traits.h;474;2.0635650157928467;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.1834497451782227;1-3.5;Double bit-flip
wt;knapsackga.cpp;15;2.471118688583374;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.428558349609375;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.4933671951293945;1-3.5;Double bit-flip
wt;knapsackga.cpp;15;2.5087857246398926;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.179373025894165;1-3.5;Double bit-flip
wt;knapsackga.cpp;15;1.1997251510620117;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.5849547386169434;1-3.5;Double bit-flip
valor;knapsackga.cpp;24;2.1020920276641846;1-3.5;Double bit-flip
__a;/usr/include/c++/7/bits/alloc_traits.h;474;3.0815184116363525;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;3.102419853210449;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.493760108947754;1-3.5;Double bit-flip
n;knapsackga.cpp;16;3.0263187885284424;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.1684675216674805;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.863628625869751;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.0393643379211426;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.0372321605682373;1-3.5;Double bit-flip
wt;knapsackga.cpp;15;2.2185075283050537;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.960792064666748;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.5720860958099365;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.277369499206543;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.0460050106048584;1-3.5;Double bit-flip
val;knapsackga.cpp;14;2.0546607971191406;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.6882400512695312;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.097486734390259;1-3.5;Double bit-flip
