Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
W;knapsackga.cpp;16;1.9355478286743164;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.6047744750976562;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.9466569423675537;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.9515330791473389;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.7251842021942139;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.5599935054779053;1-3.5;Double bit-flip
g;knapsackga.cpp;94;2.2504196166992188;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.5170977115631104;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.868290901184082;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.7918367385864258;1-3.5;Double bit-flip
g;knapsackga.cpp;94;1.6940667629241943;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.6960418224334717;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.7048225402832031;1-3.5;Double bit-flip
val;knapsackga.cpp;14;2.6754021644592285;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.863046407699585;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.6116316318511963;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.9025623798370361;1-3.5;Double bit-flip
val;knapsackga.cpp;14;2.258941173553467;1-3.5;Double bit-flip
val;knapsackga.cpp;14;2.9839751720428467;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.4587514400482178;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.1294848918914795;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.639234781265259;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.8662657737731934;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.8577842712402344;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.003333330154419;1-3.5;Double bit-flip
wt;knapsackga.cpp;15;1.7823305130004883;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.1026294231414795;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.823024272918701;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.130439519882202;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.08059024810791;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.6580898761749268;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.6367754936218262;1-3.5;Double bit-flip
n;knapsackga.cpp;16;3.0298633575439453;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.7735676765441895;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.1442697048187256;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.6808757781982422;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.7432308197021484;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.787184715270996;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.2658185958862305;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.357980489730835;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.690563440322876;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.0848703384399414;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.2648773193359375;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.5394508838653564;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.7565336227416992;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.235076427459717;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.917004108428955;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.5242106914520264;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.699146032333374;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.579869270324707;1-3.5;Double bit-flip
n;knapsackga.cpp;16;1.4598758220672607;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.057741165161133;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.1719841957092285;1-3.5;Double bit-flip
wt;knapsackga.cpp;15;2.220386266708374;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.182384490966797;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.919623613357544;1-3.5;Double bit-flip
W;knapsackga.cpp;16;3.320289373397827;1-3.5;Double bit-flip
W;knapsackga.cpp;16;3.064124822616577;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.368084669113159;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.6250157356262207;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.2933223247528076;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.6966185569763184;1-3.5;Double bit-flip
val;knapsackga.cpp;14;1.4428069591522217;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.1484313011169434;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.9808764457702637;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.3611581325531006;1-3.5;Double bit-flip
W;knapsackga.cpp;16;3.096696376800537;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.82782244682312;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.040151834487915;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.9807047843933105;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.278782367706299;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.0908873081207275;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.568859338760376;1-3.5;Double bit-flip
g;knapsackga.cpp;94;1.2410411834716797;1-3.5;Double bit-flip
W;knapsackga.cpp;16;3.9023234844207764;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.736510992050171;1-3.5;Double bit-flip
val;knapsackga.cpp;14;2.7449841499328613;1-3.5;Double bit-flip
g;knapsackga.cpp;94;2.4290146827697754;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.3595426082611084;1-3.5;Double bit-flip
W;knapsackga.cpp;16;2.7565548419952393;1-3.5;Double bit-flip
W;knapsackga.cpp;16;1.4150090217590332;1-3.5;Double bit-flip
