Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
g;knapsackga.cpp;94;1.646864414215088;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.0141966342926025;1-3.5;Random bit-flip
i;knapsackga.cpp;61;1.3664014339447021;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.9053339958190918;1-3.5;Random bit-flip
n;knapsackga.cpp;16;2.531487464904785;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.6788160800933838;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.2069578170776367;1-3.5;Random bit-flip
i;knapsackga.cpp;61;2.1782424449920654;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.5079565048217773;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.8526124954223633;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.6971116065979004;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.0022869110107422;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.2219529151916504;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.6243531703948975;1-3.5;Random bit-flip
n;knapsackga.cpp;16;3.3502039909362793;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.821669578552246;1-3.5;Random bit-flip
lock;random.c;197;1.4423322677612305;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.53432297706604;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.993757724761963;1-3.5;Random bit-flip
g;knapsackga.cpp;94;3.010643482208252;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.8694562911987305;1-3.5;Random bit-flip
n;knapsackga.cpp;16;2.6816887855529785;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.1814446449279785;1-3.5;Random bit-flip
pop_size;knapsackga.cpp;17;2.320162773132324;1-3.5;Single bit-flip
lock;random.c;197;3.26430606842041;1-3.5;Single bit-flip
i;knapsackga.cpp;61;1.727532148361206;1-3.5;Single bit-flip
pop_size;knapsackga.cpp;17;1.852663278579712;1-3.5;Single bit-flip
pop_size;knapsackga.cpp;17;1.8477659225463867;1-3.5;Single bit-flip
pop_size;knapsackga.cpp;17;2.282635450363159;1-3.5;Single bit-flip
lock;random.c;197;1.9322400093078613;1-3.5;Single bit-flip
pop_size;knapsackga.cpp;17;3.027594566345215;1-3.5;Single bit-flip
pop_size;knapsackga.cpp;17;2.4270272254943848;1-3.5;Single bit-flip
pop_size;knapsackga.cpp;17;1.7020139694213867;1-3.5;Single bit-flip
g;knapsackga.cpp;94;2.5653233528137207;1-3.5;Single bit-flip
lock;random.c;197;1.4625327587127686;1-3.5;Single bit-flip
lock;random.c;197;1.784135341644287;1-3.5;Single bit-flip
pop_size;knapsackga.cpp;17;2.703986406326294;1-3.5;Single bit-flip
__args#0;/usr/include/c++/7/ext/new_allocator.h;135;2.0678539276123047;1-3.5;LSB bit-flip
lock;random.c;197;2.4344491958618164;1-3.5;LSB bit-flip
lock;random.c;197;1.2858362197875977;1-3.5;LSB bit-flip
g;knapsackga.cpp;94;2.3688552379608154;1-3.5;LSB bit-flip
g;knapsackga.cpp;94;2.1940577030181885;1-3.5;LSB bit-flip
lock;random.c;197;2.094777822494507;1-3.5;LSB bit-flip
g;knapsackga.cpp;94;2.093567371368408;1-3.5;LSB bit-flip
g;knapsackga.cpp;94;2.100125789642334;1-3.5;LSB bit-flip
g;knapsackga.cpp;94;2.9056358337402344;1-3.5;LSB bit-flip
n;knapsackga.cpp;16;2.1294894218444824;1-3.5;LSB bit-flip
g;knapsackga.cpp;94;1.559164047241211;1-3.5;LSB bit-flip
n;knapsackga.cpp;16;2.488022804260254;1-3.5;LSB bit-flip
n;knapsackga.cpp;16;2.9019699096679688;1-3.5;LSB bit-flip
pop_size;knapsackga.cpp;17;1.6026742458343506;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.781104564666748;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.5143823623657227;1-3.5;Double bit-flip
g;knapsackga.cpp;94;2.1365199089050293;1-3.5;Double bit-flip
n;knapsackga.cpp;16;2.0217881202697754;1-3.5;Double bit-flip
lock;random.c;197;1.5282094478607178;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.0178141593933105;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;1.3518617153167725;1-3.5;Double bit-flip
pop_size;knapsackga.cpp;17;2.2475759983062744;1-3.5;Double bit-flip
lock;random.c;197;2.1959433555603027;1-3.5;Double bit-flip
lock;random.c;197;2.7677958011627197;1-3.5;Double bit-flip
lock;random.c;197;1.485954761505127;1-3.5;Double bit-flip
i;knapsackga.cpp;109;1.131864070892334;1-3.5;Zero bit-flip
