Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
W;knapsackmf.cpp;12;1.54215669631958;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.961155652999878;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.0589632987976074;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.970360517501831;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.991952657699585;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.127357006072998;1-3;Random bit-flip
W;knapsackmf.cpp;12;3.78238844871521;1-3;Random bit-flip
V;knapsackmf.cpp;16;3.215198278427124;1-3;Random bit-flip
j;knapsackmf.cpp;44;1.6030232906341553;1-3;Random bit-flip
this;knapsackmf.cpp;0;1.8794817924499512;1-3;Random bit-flip
V;knapsackmf.cpp;16;4.185871601104736;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.335845470428467;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.7185277938842773;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.622009515762329;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.526691436767578;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.254160165786743;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.7012438774108887;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.7562000751495361;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.4113872051239014;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.7331345081329346;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.7484488487243652;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.6039488315582275;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.0336265563964844;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.374511957168579;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.5057811737060547;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.147597312927246;1-3;LSB bit-flip
W;knapsackmf.cpp;12;3.2209179401397705;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.989445686340332;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.069685935974121;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.3002946376800537;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.2443127632141113;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.3120524883270264;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.33803391456604;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.922863245010376;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.2986671924591064;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.493004322052002;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.9697630405426025;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.1700806617736816;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.050625801086426;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.917362928390503;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.3496975898742676;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.404601812362671;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.1590652465820312;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.7265472412109375;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.5830254554748535;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.2523272037506104;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.713066339492798;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.5634052753448486;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.1738169193267822;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.214123249053955;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.870804786682129;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.0260231494903564;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.9852790832519531;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.8251416683197021;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.2016289234161377;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.7328877449035645;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.5218582153320312;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.232433557510376;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.7030842304229736;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.3956053256988525;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.0918667316436768;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.537923574447632;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.5647411346435547;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.4456567764282227;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.6039044857025146;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.3443520069122314;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.2767810821533203;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.5928165912628174;1-3;LSB bit-flip
W;knapsackmf.cpp;12;3.593747615814209;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.75966215133667;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.5542397499084473;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.8757045269012451;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.4754502773284912;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.5081443786621094;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.3557538986206055;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.6629550457000732;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.502772569656372;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.627833604812622;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.3246564865112305;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.5470585823059082;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.214768171310425;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.227475643157959;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.8854475021362305;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.744945764541626;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.9187347888946533;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.106672525405884;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.178330183029175;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.2428085803985596;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.746694803237915;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.8871550559997559;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.3538386821746826;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.107793092727661;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.7519185543060303;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.5894904136657715;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.8436663150787354;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.2795112133026123;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.8216629028320312;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.865752935409546;1-3;LSB bit-flip
values;knapsackmf.cpp;14;1.8477284908294678;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.0653223991394043;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.4223122596740723;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.7756168842315674;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.0259718894958496;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.6794376373291016;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.4862558841705322;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.636125326156616;1-3;LSB bit-flip
j;knapsackmf.cpp;44;2.5132455825805664;1-3;LSB bit-flip
j;knapsackmf.cpp;44;1.7699658870697021;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.808276891708374;1-3;LSB bit-flip
W;knapsackmf.cpp;12;2.7095134258270264;1-3;LSB bit-flip
W;knapsackmf.cpp;12;1.928412914276123;1-3;LSB bit-flip
