Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
wt;knapsacksa.cpp;14;1.5999774932861328;0-2;Single bit-flip
solution;knapsacksa.cpp;38;1.3627409934997559;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.45050883293151855;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.2272796630859375;0-2;Single bit-flip
delta;knapsacksa.cpp;51;1.0032577514648438;0-2;Single bit-flip
peso;knapsacksa.cpp;26;1.9413542747497559;0-2;Single bit-flip
i;knapsacksa.cpp;27;1.2073493003845215;0-2;Single bit-flip
wt;knapsacksa.cpp;14;1.141578197479248;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.5270342826843262;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.2151377201080322;0-2;Single bit-flip
_rtld_global;rtld.c;231;1.210707187652588;0-2;Single bit-flip
val;knapsacksa.cpp;13;2.6071150302886963;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.247934103012085;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.84735107421875;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.3336389064788818;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.4261908531188965;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.5146231651306152;0-2;Single bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;1.0422351360321045;0-2;Single bit-flip
temp;knapsacksa.cpp;42;0.9448583126068115;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.237823247909546;0-2;Single bit-flip
solution;knapsacksa.cpp;38;1.4174132347106934;0-2;Single bit-flip
temp;knapsacksa.cpp;42;2.2154314517974854;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.3515737056732178;0-2;Single bit-flip
i;knapsacksa.cpp;48;0.5748469829559326;0-2;Single bit-flip
i;knapsacksa.cpp;27;0.6573593616485596;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.2987139225006104;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;1.2188153266906738;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.9199028015136719;0-2;Single bit-flip
solution;knapsacksa.cpp;25;1.3487513065338135;0-2;Single bit-flip
wt;knapsacksa.cpp;14;1.5390779972076416;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.6915044784545898;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.8416969776153564;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.5762507915496826;0-2;Single bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9811081886291504;0-2;Single bit-flip
n;knapsacksa.cpp;15;2.141383647918701;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.2889554500579834;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.1311135292053223;0-2;Single bit-flip
n;knapsacksa.cpp;15;2.001278877258301;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.0680780410766602;0-2;Single bit-flip
val;knapsacksa.cpp;13;2.1394410133361816;0-2;Single bit-flip
wt;knapsacksa.cpp;14;0.7067654132843018;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.3439152240753174;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.9713199138641357;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.37114667892456055;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.3232030868530273;0-2;Single bit-flip
valor;knapsacksa.cpp;26;1.4467802047729492;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.8050568103790283;0-2;Single bit-flip
delta;knapsacksa.cpp;51;1.7506153583526611;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.8452303409576416;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.670203447341919;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.3535945415496826;0-2;Single bit-flip
_dl_skip_args;rtld.c;84;0.7969167232513428;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.2763819694519043;0-2;Single bit-flip
i;knapsacksa.cpp;27;0.7528672218322754;0-2;Single bit-flip
