Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
W;knapsacksa.cpp;15;1.5919806957244873;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.9468972682952881;0-2;Single bit-flip
val;knapsacksa.cpp;13;0.707683801651001;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.03871488571167;0-2;Single bit-flip
wt;knapsacksa.cpp;14;1.1391382217407227;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.9453125;0-2;Single bit-flip
i;knapsacksa.cpp;27;1.2959487438201904;0-2;Single bit-flip
temp;knapsacksa.cpp;42;0.8088185787200928;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.047391414642334;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.6707391738891602;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.4975225925445557;0-2;Single bit-flip
temp;knapsacksa.cpp;42;1.368593692779541;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.8522441387176514;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.1138169765472412;0-2;Single bit-flip
wt;knapsacksa.cpp;14;1.5994670391082764;0-2;Single bit-flip
best;knapsacksa.cpp;41;1.3539390563964844;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.1241705417633057;0-2;Single bit-flip
temp;knapsacksa.cpp;42;1.4419243335723877;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.8944950103759766;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.9169695377349854;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.6280250549316406;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.261641025543213;0-2;Single bit-flip
best;knapsacksa.cpp;41;2.3438193798065186;0-2;Single bit-flip
i;knapsacksa.cpp;27;1.5584383010864258;0-2;Single bit-flip
temp;knapsacksa.cpp;42;1.2201416492462158;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.6093034744262695;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.6691443920135498;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.0223994255065918;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.8958029747009277;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.8379113674163818;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.018254041671753;0-2;Single bit-flip
i;knapsacksa.cpp;27;0.7498548030853271;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.2852940559387207;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.6190431118011475;0-2;Single bit-flip
wt;knapsacksa.cpp;14;1.300177812576294;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.1499121189117432;0-2;Single bit-flip
n;knapsacksa.cpp;15;2.7056198120117188;0-2;Single bit-flip
best;knapsacksa.cpp;41;0.7019798755645752;0-2;Single bit-flip
val;knapsacksa.cpp;13;0.9319837093353271;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.610407829284668;0-2;Single bit-flip
W;knapsacksa.cpp;15;0.6790950298309326;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.3343610763549805;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.0164217948913574;0-2;Single bit-flip
t;knapsacksa.cpp;46;1.1009526252746582;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.726076602935791;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.2871921062469482;0-2;Single bit-flip
W;knapsacksa.cpp;15;1.222954511642456;0-2;Single bit-flip
val;knapsacksa.cpp;13;1.6140079498291016;0-2;Single bit-flip
