Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
__n;/usr/include/c++/7/bits/stl_vector.h;176;2.4261560440063477;1-8;Random bit-flip
pop_size;knapsackga.cpp;19;2.2537739276885986;1-8;Random bit-flip
this;knapsackga.cpp;0;3.630303144454956;1-8;Random bit-flip
n2;knapsackga.cpp;18;6.323484897613525;1-8;Random bit-flip
n;knapsackga.cpp;18;1.7964775562286377;1-8;Random bit-flip
pop_size2;knapsackga.cpp;20;6.414746284484863;1-8;Random bit-flip
random_poly_info;random_r.c;143;4.662384271621704;1-8;Random bit-flip
pop_size;knapsackga.cpp;19;2.648913621902466;1-8;Random bit-flip
pop_size;knapsackga.cpp;19;3.5731282234191895;1-8;Random bit-flip
__new_start;/usr/include/c++/7/bits/vector.tcc;406;2.467925786972046;1-8;Random bit-flip
n;knapsackga.cpp;18;5.588714838027954;1-8;Random bit-flip
n;knapsackga.cpp;18;3.910254955291748;1-8;Random bit-flip
i;knapsackga.cpp;39;2.0531985759735107;1-8;Random bit-flip
pop_size;knapsackga.cpp;19;4.460716724395752;1-8;Random bit-flip
pop_size;knapsackga.cpp;19;5.488768577575684;1-8;Random bit-flip
pai;knapsackga.cpp;92;3.1539928913116455;1-8;Random bit-flip
pop_size;knapsackga.cpp;19;3.4962642192840576;1-8;Random bit-flip
pop_size;knapsackga.cpp;19;2.1142594814300537;1-8;Random bit-flip
val;knapsackga.cpp;14;1.9444794654846191;1-8;Random bit-flip
i;knapsackga.cpp;135;5.849714517593384;1-8;Random bit-flip
W2;knapsackga.cpp;18;4.785516262054443;1-8;Random bit-flip
this;knapsackga.cpp;0;4.884272575378418;1-8;Random bit-flip
wt2;knapsackga.cpp;17;1.8376636505126953;1-8;Random bit-flip
W;knapsackga.cpp;18;1.7389366626739502;1-8;Random bit-flip
filho2;knapsackga.cpp;127;5.125027418136597;1-8;Random bit-flip
n;knapsackga.cpp;18;2.4591610431671143;1-8;Random bit-flip
W2;knapsackga.cpp;18;1.999265432357788;1-8;Random bit-flip
peso;knapsackga.cpp;38;2.2693934440612793;1-8;Random bit-flip
n;knapsackga.cpp;18;4.6461615562438965;1-8;Random bit-flip
random_poly_info;random_r.c;143;2.1934852600097656;1-8;Random bit-flip
n;knapsackga.cpp;18;4.128323316574097;1-8;Random bit-flip
wt2;knapsackga.cpp;17;4.209267854690552;1-8;Random bit-flip
g;knapsackga.cpp;116;2.1266708374023438;1-8;Random bit-flip
