Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
i;knapsackga.cpp;123;3.8210556507110596;1-8;Random bit-flip
lock;random.c;197;2.1840169429779053;1-8;Random bit-flip
n;knapsackga.cpp;18;7.15275764465332;1-8;Random bit-flip
n;knapsackga.cpp;18;5.9311041831970215;1-8;Random bit-flip
n;knapsackga.cpp;18;5.492913007736206;1-8;Random bit-flip
n;knapsackga.cpp;18;2.9294400215148926;1-8;Random bit-flip
lock;random.c;197;1.2797415256500244;1-8;Random bit-flip
n;knapsackga.cpp;18;2.382477045059204;1-8;Random bit-flip
n;knapsackga.cpp;18;2.5461652278900146;1-8;Random bit-flip
n;knapsackga.cpp;18;3.9643375873565674;1-8;Random bit-flip
lock;random.c;197;4.416531801223755;1-8;Random bit-flip
n;knapsackga.cpp;18;5.03839111328125;1-8;Random bit-flip
n;knapsackga.cpp;18;5.162917375564575;1-8;Random bit-flip
pop_size;knapsackga.cpp;19;3.9703471660614014;1-8;Single bit-flip
pop_size;knapsackga.cpp;19;1.9812028408050537;1-8;Single bit-flip
n;knapsackga.cpp;18;3.9668118953704834;1-8;Single bit-flip
n;knapsackga.cpp;18;2.3406872749328613;1-8;Single bit-flip
pop_size;knapsackga.cpp;19;3.146705389022827;1-8;Single bit-flip
lock;random.c;197;3.187288522720337;1-8;Single bit-flip
lock;random.c;197;3.6351051330566406;1-8;Single bit-flip
pop_size;knapsackga.cpp;19;1.9238431453704834;1-8;Single bit-flip
lock;random.c;197;1.4522316455841064;1-8;Single bit-flip
n;knapsackga.cpp;18;5.014689683914185;1-8;LSB bit-flip
n;knapsackga.cpp;18;3.1477744579315186;1-8;LSB bit-flip
n;knapsackga.cpp;18;2.8535544872283936;1-8;LSB bit-flip
n;knapsackga.cpp;18;2.705341100692749;1-8;LSB bit-flip
n;knapsackga.cpp;18;2.672940254211426;1-8;LSB bit-flip
n;knapsackga.cpp;18;4.695788860321045;1-8;LSB bit-flip
i;knapsackga.cpp;82;2.8505797386169434;1-8;LSB bit-flip
lock;random.c;197;7.260499477386475;1-8;LSB bit-flip
lock;random.c;197;5.071924686431885;1-8;LSB bit-flip
lock;random.c;197;4.554171562194824;1-8;LSB bit-flip
n;knapsackga.cpp;18;1.9506454467773438;1-8;LSB bit-flip
n;knapsackga.cpp;18;2.837157964706421;1-8;LSB bit-flip
n;knapsackga.cpp;18;2.5375008583068848;1-8;LSB bit-flip
n;knapsackga.cpp;18;2.3704633712768555;1-8;LSB bit-flip
n;knapsackga.cpp;18;2.719367504119873;1-8;LSB bit-flip
n;knapsackga.cpp;18;3.220092535018921;1-8;LSB bit-flip
lock;random.c;197;1.9967925548553467;1-8;LSB bit-flip
lock;random.c;197;2.2991135120391846;1-8;LSB bit-flip
lock;random.c;197;2.3148951530456543;1-8;LSB bit-flip
n;knapsackga.cpp;18;3.3728716373443604;1-8;LSB bit-flip
n;knapsackga.cpp;18;3.0923378467559814;1-8;LSB bit-flip
n;knapsackga.cpp;18;4.158275127410889;1-8;LSB bit-flip
lock;random.c;197;3.1764605045318604;1-8;Double bit-flip
pop_size;knapsackga.cpp;19;3.1418380737304688;1-8;Double bit-flip
n;knapsackga.cpp;18;5.366487264633179;1-8;Double bit-flip
n;knapsackga.cpp;18;4.5841662883758545;1-8;Double bit-flip
n;knapsackga.cpp;18;4.482428312301636;1-8;Double bit-flip
n;knapsackga.cpp;18;1.6295769214630127;1-8;Double bit-flip
n;knapsackga.cpp;18;2.7167766094207764;1-8;Double bit-flip
n;knapsackga.cpp;18;2.21282696723938;1-8;Double bit-flip
n;knapsackga.cpp;18;3.0357306003570557;1-8;Double bit-flip
n;knapsackga.cpp;18;4.170304536819458;1-8;Double bit-flip
n;knapsackga.cpp;18;2.264537811279297;1-8;Double bit-flip
pop_size;knapsackga.cpp;19;1.9636011123657227;1-8;Double bit-flip
