Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
g;knapsackga.cpp;116;3.326394557952881;1-8;Random bit-flip;0
i;knapsackga.cpp;94;4.022763252258301;1-8;Random bit-flip;0
mae;knapsackga.cpp;92;1.8997206687927246;1-8;Random bit-flip;0
randtbl;random.c;146;4.6280903816223145;1-8;Random bit-flip;0
randtbl;random.c;146;3.7815158367156982;1-8;Random bit-flip;0
g;knapsackga.cpp;116;2.509469747543335;1-8;Random bit-flip;0
i;knapsackga.cpp;94;5.174976348876953;1-8;Random bit-flip;0
g;knapsackga.cpp;116;2.6969001293182373;1-8;Random bit-flip;0
i;knapsackga.cpp;94;2.829467296600342;1-8;Random bit-flip;0
i;knapsackga.cpp;135;2.760685682296753;1-8;Random bit-flip;0
g;knapsackga.cpp;116;5.0074615478515625;1-8;Random bit-flip;0
g;knapsackga.cpp;116;4.181157350540161;1-8;Random bit-flip;0
randtbl;random.c;146;5.885530948638916;1-8;Random bit-flip;0
g;knapsackga.cpp;116;3.8345296382904053;1-8;Random bit-flip;0
i;knapsackga.cpp;135;3.9252121448516846;1-8;Random bit-flip;0
i;knapsackga.cpp;135;3.0093209743499756;1-8;Random bit-flip;0
g;knapsackga.cpp;116;2.8330092430114746;1-8;Random bit-flip;0
i;knapsackga.cpp;135;4.696786403656006;1-8;Random bit-flip;0
g;knapsackga.cpp;116;5.0829174518585205;1-8;Random bit-flip;0
unsafe_state;random.c;160;1.979496717453003;1-8;Random bit-flip;0
g;knapsackga.cpp;116;2.309924364089966;1-8;Random bit-flip;0
randtbl;random.c;146;1.7416932582855225;1-8;Random bit-flip;0
unsafe_state;random.c;160;1.8983449935913086;1-8;Random bit-flip;0
g;knapsackga.cpp;116;4.56807804107666;1-8;Random bit-flip;0
__first;/usr/include/c++/7/bits/stl_uninitialized.h;115;3.923088312149048;1-8;Random bit-flip;0
g;knapsackga.cpp;116;1.9999160766601562;1-8;Random bit-flip;0
__b;/usr/include/c++/7/bits/move.h;187;1.6090338230133057;1-8;Random bit-flip;0
__x;/usr/include/c++/7/bits/vector.tcc;180;3.653751850128174;1-8;Random bit-flip;0
i;knapsackga.cpp;94;1.74052095413208;1-8;Random bit-flip;0
g;knapsackga.cpp;116;3.59651255607605;1-8;Random bit-flip;0
i;knapsackga.cpp;135;2.6279404163360596;1-8;Random bit-flip;0
g;knapsackga.cpp;116;2.6894946098327637;1-8;Random bit-flip;0
i;knapsackga.cpp;94;1.6130797863006592;1-8;Random bit-flip;0
randtbl;random.c;146;3.0764102935791016;1-8;Random bit-flip;0
randtbl;random.c;146;2.5880041122436523;1-8;Random bit-flip;0
g;knapsackga.cpp;116;3.16831636428833;1-8;Random bit-flip;0
g;knapsackga.cpp;116;2.5077545642852783;1-8;Random bit-flip;0
randtbl;random.c;146;1.870300054550171;1-8;Random bit-flip;0
randtbl;random.c;146;2.240760326385498;1-8;Random bit-flip;0
g;knapsackga.cpp;116;3.928616523742676;1-8;Random bit-flip;0
n2;knapsackga.cpp;18;1.9674041271209717;1-8;Random bit-flip;1
wt;knapsackga.cpp;16;3.2759017944335938;1-8;Random bit-flip;1
n;knapsackga.cpp;18;1.7234489917755127;1-8;Random bit-flip;1
W;knapsackga.cpp;18;2.6132333278656006;1-8;Random bit-flip;1
n2;knapsackga.cpp;18;4.63615345954895;1-8;Random bit-flip;1
wt;knapsackga.cpp;16;3.1309921741485596;1-8;Random bit-flip;1
valor;knapsackga.cpp;38;1.8995590209960938;1-8;Random bit-flip;1
W2;knapsackga.cpp;18;1.3819940090179443;1-8;Random bit-flip;1
pop_size;knapsackga.cpp;19;5.059088230133057;1-8;Random bit-flip;1
g;knapsackga.cpp;116;2.762925624847412;1-8;Random bit-flip;1
pop_size2;knapsackga.cpp;20;2.419126033782959;1-8;Random bit-flip;1
W2;knapsackga.cpp;18;2.8117516040802;1-8;Random bit-flip;1
g2;knapsackga.cpp;115;2.5496864318847656;1-8;Random bit-flip;1
W2;knapsackga.cpp;18;3.291975975036621;1-8;Random bit-flip;1
W;knapsackga.cpp;18;1.897082805633545;1-8;Random bit-flip;1
