Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
j;knapsackmf.cpp;69;2.032585382461548;1-3;Random bit-flip
j;knapsackmf.cpp;69;3.324254274368286;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.2564895153045654;1-3;Random bit-flip
i;knapsackmf.cpp;69;1.604684591293335;1-3;Random bit-flip
values;knapsackmf.cpp;16;2.2907211780548096;1-3;Random bit-flip
n;knapsackmf.cpp;14;2.008678674697876;1-3;Random bit-flip
i;knapsackmf.cpp;69;1.336911678314209;1-3;Random bit-flip
j;knapsackmf.cpp;69;2.1584882736206055;1-3;Random bit-flip
n;knapsackmf.cpp;14;1.7457830905914307;1-3;Random bit-flip
V;knapsackmf.cpp;20;3.3178980350494385;1-3;Random bit-flip
n;knapsackmf.cpp;14;3.263192892074585;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.9942171573638916;1-3;Random bit-flip
n;knapsackmf.cpp;14;2.4291141033172607;1-3;Random bit-flip
value;knapsackmf.cpp;70;1.946185827255249;1-3;Random bit-flip
n;knapsackmf.cpp;14;1.8390445709228516;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.86155104637146;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.441404104232788;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.0193774700164795;1-3;Random bit-flip
i;knapsackmf.cpp;69;1.7145180702209473;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.958826780319214;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.3347558975219727;1-3;Random bit-flip
weights2;knapsackmf.cpp;19;1.6623947620391846;1-3;Random bit-flip
n;knapsackmf.cpp;14;1.356001377105713;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.4765613079071045;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.0152018070220947;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.9621758460998535;1-3;Random bit-flip
weights;knapsackmf.cpp;18;3.3168206214904785;1-3;Random bit-flip
value;knapsackmf.cpp;70;2.6049351692199707;1-3;Random bit-flip
n;knapsackmf.cpp;14;2.6720426082611084;1-3;Random bit-flip
j2;knapsackmf.cpp;69;2.9093849658966064;1-3;Random bit-flip
i;knapsackmf.cpp;69;3.2348437309265137;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.401373863220215;1-3;Random bit-flip
j;knapsackmf.cpp;69;1.9445371627807617;1-3;Random bit-flip
n;knapsackmf.cpp;14;2.140317916870117;1-3;Random bit-flip
value;knapsackmf.cpp;70;3.158949375152588;1-3;Random bit-flip
j2;knapsackmf.cpp;69;3.311403274536133;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.4867653846740723;1-3;Random bit-flip
j;knapsackmf.cpp;69;1.7556922435760498;1-3;Random bit-flip
i;knapsackmf.cpp;69;3.138129472732544;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.5923781394958496;1-3;Random bit-flip
values;knapsackmf.cpp;16;2.693741798400879;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.444931983947754;1-3;Random bit-flip
i2;knapsackmf.cpp;69;2.8549957275390625;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.4504048824310303;1-3;Random bit-flip
weights;knapsackmf.cpp;18;2.258960485458374;1-3;Random bit-flip
j;knapsackmf.cpp;69;2.5070130825042725;1-3;Random bit-flip
j;knapsackmf.cpp;69;1.601658821105957;1-3;Random bit-flip
n;knapsackmf.cpp;14;1.9107913970947266;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.6310515403747559;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.1237547397613525;1-3;Random bit-flip
j;knapsackmf.cpp;69;3.1260135173797607;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.7859020233154297;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.7603132724761963;1-3;Random bit-flip
W2;knapsackmf.cpp;13;2.6524388790130615;1-3;Random bit-flip
i;knapsackmf.cpp;40;1.6702957153320312;1-3;Random bit-flip
n;knapsackmf.cpp;14;1.5395827293395996;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.1783792972564697;1-3;Random bit-flip
W2;knapsackmf.cpp;13;2.6082916259765625;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.5849270820617676;1-3;Random bit-flip
weights;knapsackmf.cpp;18;1.8477256298065186;1-3;Random bit-flip
weights;knapsackmf.cpp;18;2.226862668991089;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.8690407276153564;1-3;Random bit-flip
weights;knapsackmf.cpp;18;2.396186590194702;1-3;Random bit-flip
value;knapsackmf.cpp;70;2.0119588375091553;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.754235029220581;1-3;Random bit-flip
j;knapsackmf.cpp;69;1.3098349571228027;1-3;Random bit-flip
weights;knapsackmf.cpp;18;2.5146119594573975;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.9382941722869873;1-3;Random bit-flip
weights;knapsackmf.cpp;18;2.6011452674865723;1-3;Random bit-flip
i;knapsackmf.cpp;69;1.4223828315734863;1-3;Random bit-flip
value;knapsackmf.cpp;70;2.2938785552978516;1-3;Random bit-flip
n;knapsackmf.cpp;14;2.2703397274017334;1-3;Random bit-flip
i;knapsackmf.cpp;69;1.8331868648529053;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.852677822113037;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.4079413414001465;1-3;Random bit-flip
n;knapsackmf.cpp;14;2.162936210632324;1-3;Random bit-flip
i;knapsackmf.cpp;69;1.6307051181793213;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.8265628814697266;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.5158891677856445;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.0983145236968994;1-3;Random bit-flip
i2;knapsackmf.cpp;69;2.2139570713043213;1-3;Random bit-flip
j2;knapsackmf.cpp;69;2.1854801177978516;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.333174467086792;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.3624415397644043;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.933305263519287;1-3;Random bit-flip
i;knapsackmf.cpp;69;1.902669906616211;1-3;Random bit-flip
j;knapsackmf.cpp;69;2.209275722503662;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.5967745780944824;1-3;Random bit-flip
n;knapsackmf.cpp;14;1.973499059677124;1-3;Random bit-flip
W;knapsackmf.cpp;12;3.091301441192627;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.453627824783325;1-3;Random bit-flip
weights;knapsackmf.cpp;18;2.2707245349884033;1-3;Random bit-flip
n2;knapsackmf.cpp;15;1.7939414978027344;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.109304666519165;1-3;Random bit-flip
i;knapsackmf.cpp;69;1.5498735904693604;1-3;Random bit-flip
n;knapsackmf.cpp;14;1.8343589305877686;1-3;Random bit-flip
value;knapsackmf.cpp;70;2.1719374656677246;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.3262040615081787;1-3;Random bit-flip
i;knapsackmf.cpp;69;1.8003957271575928;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.621732711791992;1-3;Random bit-flip
value;knapsackmf.cpp;70;2.8752424716949463;1-3;Random bit-flip
n;knapsackmf.cpp;14;2.3407740592956543;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.808016538619995;1-3;Random bit-flip
j;knapsackmf.cpp;69;1.5023810863494873;1-3;Random bit-flip
i2;knapsackmf.cpp;69;1.8571996688842773;1-3;Random bit-flip
j;knapsackmf.cpp;69;2.2568798065185547;1-3;Random bit-flip
V;knapsackmf.cpp;20;2.3766512870788574;1-3;Random bit-flip
n;knapsackmf.cpp;14;2.5012214183807373;1-3;Random bit-flip
n;knapsackmf.cpp;14;1.819016456604004;1-3;Random bit-flip
i2;knapsackmf.cpp;69;2.4467008113861084;1-3;Random bit-flip
j;knapsackmf.cpp;69;1.9139885902404785;1-3;Random bit-flip
W;knapsackmf.cpp;12;1.7783963680267334;1-3;Random bit-flip
W;knapsackmf.cpp;12;2.488006353378296;1-3;Random bit-flip
j;knapsackmf.cpp;69;2.339939594268799;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.248771905899048;1-3;Random bit-flip
n;knapsackmf.cpp;14;2.564936399459839;1-3;Random bit-flip
n;knapsackmf.cpp;14;2.204765796661377;1-3;Random bit-flip
j;knapsackmf.cpp;69;1.7381787300109863;1-3;Random bit-flip
n;knapsackmf.cpp;14;1.7471425533294678;1-3;Random bit-flip
i;knapsackmf.cpp;69;2.250443458557129;1-3;Random bit-flip
W2;knapsackmf.cpp;13;2.179871082305908;1-3;Random bit-flip
j;knapsackmf.cpp;69;1.9417743682861328;1-3;Random bit-flip
