Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
i2;knapsackmf.cpp;69;2.9856343269348145;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.6656219959259033;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.8056106567382812;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.3904104232788086;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.1172983646392822;1-3;Random bit-flip;1
j;knapsackmf.cpp;69;2.4795918464660645;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.0722389221191406;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.2348642349243164;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.7794466018676758;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.2485086917877197;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.6968562602996826;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.7992947101593018;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.7533502578735352;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.0893783569335938;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.9488484859466553;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.696075201034546;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.394498109817505;1-3;Random bit-flip;1
i2;knapsackmf.cpp;40;1.667069673538208;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.797619104385376;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;1.696765422821045;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;3.4933760166168213;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.9898641109466553;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;3.138427495956421;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;1.7273855209350586;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.2985682487487793;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.2354066371917725;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.5029473304748535;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.7669918537139893;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.105442523956299;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.367861747741699;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.7922165393829346;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.0799548625946045;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.3370442390441895;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.1657769680023193;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.6419475078582764;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.4506258964538574;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;1.5638580322265625;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;2.7781052589416504;1-3;Random bit-flip;1
values2;knapsackmf.cpp;17;3.413701057434082;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.3486979007720947;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;1.9636352062225342;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;2.7800052165985107;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;2.39658784866333;1-3;Random bit-flip;1
values;knapsackmf.cpp;16;2.4398159980773926;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.5104916095733643;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.2430434226989746;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;2.1387040615081787;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.6795389652252197;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.754049301147461;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;1.4326965808868408;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.3581135272979736;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.630962610244751;1-3;Random bit-flip;1
j2;knapsackmf.cpp;69;1.6424753665924072;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.3441174030303955;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;1.7716553211212158;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.813638210296631;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.380394220352173;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.729280710220337;1-3;Random bit-flip;1
weights2;knapsackmf.cpp;19;1.7400798797607422;1-3;Random bit-flip;1
n2;knapsackmf.cpp;15;2.0703628063201904;1-3;Random bit-flip;1
i2;knapsackmf.cpp;69;2.114023208618164;1-3;Random bit-flip;1
W2;knapsackmf.cpp;13;1.6701278686523438;1-3;Random bit-flip;1
