Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
_dl_skip_args;rtld.c;84;1.8207056522369385;0-9;Single bit-flip
start_time;rtld.c;308;1.628267765045166;0-9;Single bit-flip
wt2;knapsacksa.cpp;17;5.467193126678467;0-9;Single bit-flip
_dl_argc;rtld.c;82;1.2410874366760254;0-9;Single bit-flip
t;knapsacksa.cpp;88;4.035326719284058;0-9;Single bit-flip
any_debug;rtld.c;2322;1.1598246097564697;0-9;Single bit-flip
val2;knapsacksa.cpp;15;3.056535005569458;0-9;Single bit-flip
version_info;rtld.c;827;0.913203239440918;0-9;Single bit-flip
val;knapsacksa.cpp;14;6.501110315322876;0-9;Single bit-flip
load_time;rtld.c;307;2.855064630508423;0-9;Single bit-flip
wt;knapsacksa.cpp;16;5.5819127559661865;0-9;Single bit-flip
_rtld_global_ro;rtld.c;259;1.6729328632354736;0-9;Single bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;1.8794581890106201;0-9;Single bit-flip
_rtld_global;rtld.c;231;1.499225378036499;0-9;Single bit-flip
audit_list;rtld.c;142;1.7839829921722412;0-9;Single bit-flip
t;knapsacksa.cpp;88;4.87272572517395;0-9;Single bit-flip
_dl_argc;rtld.c;82;1.2252261638641357;0-9;Single bit-flip
_dl_rtld_libname;rtld.c;301;1.8092114925384521;0-9;Single bit-flip
library_path;rtld.c;823;1.0167236328125;0-9;Single bit-flip
_dl_argc;rtld.c;82;2.1054556369781494;0-9;Single bit-flip
wt;knapsacksa.cpp;16;4.357300519943237;0-9;Single bit-flip
t;knapsacksa.cpp;88;5.919025182723999;0-9;Random bit-flip
_dl_argc;rtld.c;82;2.156916618347168;0-9;Random bit-flip
wt;knapsacksa.cpp;16;7.692622423171997;0-9;Random bit-flip
val;knapsacksa.cpp;14;3.8978469371795654;0-9;Random bit-flip
t;knapsacksa.cpp;88;2.7228431701660156;0-9;Random bit-flip
start_time;rtld.c;308;2.7638721466064453;0-9;Random bit-flip
t;knapsacksa.cpp;88;1.5527873039245605;0-9;Random bit-flip
t;knapsacksa.cpp;88;3.411790370941162;0-9;Random bit-flip
load_time;rtld.c;307;1.4243252277374268;0-9;Random bit-flip
any_debug;rtld.c;2322;1.9458892345428467;0-9;Random bit-flip
t;knapsacksa.cpp;88;1.6170485019683838;0-9;Random bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;4.472363710403442;0-9;Random bit-flip
preload_file;rtld.c;1630;1.486283779144287;0-9;Random bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;1.8778750896453857;0-9;Random bit-flip
t;knapsacksa.cpp;88;5.760845422744751;0-9;Random bit-flip
t;knapsacksa.cpp;88;5.6124489307403564;0-9;Random bit-flip
t;knapsacksa.cpp;88;8.125693798065186;0-9;Random bit-flip
_rtld_global_ro;rtld.c;259;1.612912893295288;0-9;Random bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;2.1685919761657715;0-9;Random bit-flip
val2;knapsacksa.cpp;15;4.282825469970703;0-9;Random bit-flip
t;knapsacksa.cpp;88;2.560502290725708;0-9;Random bit-flip
_dl_argc;rtld.c;82;2.291522741317749;0-9;Random bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;2.5854599475860596;0-9;Random bit-flip
t;knapsacksa.cpp;88;3.9596948623657227;0-9;Random bit-flip
t;knapsacksa.cpp;88;2.502763271331787;0-9;Random bit-flip
_dl_rtld_libname2;rtld.c;302;1.7649109363555908;0-9;Random bit-flip
this;knapsacksa.cpp;0;6.90999960899353;0-9;Random bit-flip
t;knapsacksa.cpp;88;1.096078634262085;0-9;Random bit-flip
_dl_rtld_libname;rtld.c;301;2.011307716369629;0-9;Random bit-flip
version_info;rtld.c;827;1.7516164779663086;0-9;Random bit-flip
wt2;knapsacksa.cpp;17;2.47115421295166;0-9;Random bit-flip
preload_file;rtld.c;1630;2.8217525482177734;0-9;Random bit-flip
t;knapsacksa.cpp;88;2.651779890060425;0-9;Random bit-flip
t;knapsacksa.cpp;88;6.430230379104614;0-9;Random bit-flip
t;knapsacksa.cpp;88;3.592484951019287;0-9;Random bit-flip
t;knapsacksa.cpp;88;2.2524356842041016;0-9;Random bit-flip
relocate_time;rtld.c;306;1.1705842018127441;0-9;Random bit-flip
_rtld_global_ro;rtld.c;259;1.1767780780792236;0-9;Random bit-flip
t;knapsacksa.cpp;88;7.03724217414856;0-9;Random bit-flip
_rtld_global;rtld.c;231;1.5822272300720215;0-9;Random bit-flip
t;knapsacksa.cpp;88;1.922116756439209;0-9;Random bit-flip
t;knapsacksa.cpp;88;5.2232561111450195;0-9;Random bit-flip
t;knapsacksa.cpp;88;1.2833061218261719;0-9;Random bit-flip
__libc_multiple_libcs;../elf/dl-sysdep.c;60;1.1905722618103027;0-9;Random bit-flip
t;knapsacksa.cpp;88;1.9867100715637207;0-9;Random bit-flip
delta;knapsacksa.cpp;96;7.523723363876343;0-9;Zero bit-flip
val;knapsacksa.cpp;14;2.9006311893463135;0-9;Zero bit-flip
_rtld_global;rtld.c;231;2.8535702228546143;0-9;Zero bit-flip
_dl_argc;rtld.c;82;2.768669366836548;0-9;Zero bit-flip
_rtld_global_ro;rtld.c;259;1.9495606422424316;0-9;Zero bit-flip
__PRETTY_FUNCTION__;rtld.c;0;1.9026315212249756;0-9;Zero bit-flip
load_time;rtld.c;307;1.6889057159423828;0-9;Zero bit-flip
delta;knapsacksa.cpp;96;6.209432125091553;0-9;Zero bit-flip
start_time;rtld.c;308;1.3254408836364746;0-9;Zero bit-flip
__pointer_chk_guard_local;rtld.c;96;2.000808000564575;0-9;Zero bit-flip
val2;knapsacksa.cpp;15;7.081528425216675;0-9;Zero bit-flip
solution;knapsacksa.cpp;78;5.0300750732421875;0-9;Zero bit-flip
audit_list;rtld.c;142;1.29295015335083;0-9;Zero bit-flip
audit_list_string;rtld.c;134;2.1649224758148193;0-9;Zero bit-flip
_rtld_global;rtld.c;231;2.4487240314483643;0-9;Zero bit-flip
solution;knapsacksa.cpp;51;4.3986711502075195;0-9;Zero bit-flip
any_debug;rtld.c;2322;2.1506025791168213;0-9;Zero bit-flip
_dl_skip_args;rtld.c;84;2.132936716079712;0-9;Zero bit-flip
_dl_rtld_libname2;rtld.c;302;2.692780017852783;0-9;Zero bit-flip
s;knapsacksa.cpp;89;3.09523344039917;0-9;Zero bit-flip
__GI__dl_argv;rtld.c;83;2.2519750595092773;0-9;Zero bit-flip
c;knapsacksa.cpp;92;4.044684886932373;0-9;Zero bit-flip
tls_init_tp_called;rtld.c;677;2.3129630088806152;0-9;Zero bit-flip
wt2;knapsacksa.cpp;17;4.048543453216553;0-9;Zero bit-flip
start_time;rtld.c;308;1.9048125743865967;0-9;Zero bit-flip
t;knapsacksa.cpp;88;3.0959866046905518;0-9;Double bit-flip
wt2;knapsacksa.cpp;17;3.7724990844726562;0-9;Double bit-flip
_dl_rtld_libname;rtld.c;301;1.9115538597106934;0-9;Double bit-flip
wt2;knapsacksa.cpp;17;2.815249443054199;0-9;Double bit-flip
__first;/usr/include/c++/7/bits/stl_construct.h;203;2.6907122135162354;0-9;Double bit-flip
load_time;rtld.c;307;1.3952856063842773;0-9;Double bit-flip
this;knapsacksa.cpp;0;5.870938062667847;0-9;Double bit-flip
wt2;knapsacksa.cpp;17;3.73051118850708;0-9;Double bit-flip
preloadlist;rtld.c;825;1.725440263748169;0-9;Double bit-flip
any_debug;rtld.c;2322;1.5004465579986572;0-9;Double bit-flip
t;knapsacksa.cpp;88;6.457015037536621;0-9;Double bit-flip
relocate_time;rtld.c;306;1.1286778450012207;0-9;Double bit-flip
val;knapsacksa.cpp;14;3.9114291667938232;0-9;Double bit-flip
_dl_rtld_libname;rtld.c;301;3.228588104248047;0-9;Double bit-flip
i;knapsacksa.cpp;90;4.190862655639648;0-9;Double bit-flip
wt2;knapsacksa.cpp;17;7.98120641708374;0-9;Double bit-flip
i;knapsacksa.cpp;90;4.358924627304077;0-9;Double bit-flip
tls_init_tp_called;rtld.c;677;2.2192933559417725;0-9;Double bit-flip
load_time;rtld.c;307;1.3044958114624023;0-9;Double bit-flip
wt;knapsacksa.cpp;16;3.011335849761963;0-9;Double bit-flip
__xlen;/usr/include/c++/7/bits/vector.tcc;203;3.012173652648926;0-9;Double bit-flip
load_time;rtld.c;307;1.3226306438446045;0-9;Double bit-flip
relocate_time;rtld.c;306;1.7888445854187012;0-9;Double bit-flip
wt;knapsacksa.cpp;16;4.686556100845337;0-9;Double bit-flip
t;knapsacksa.cpp;88;6.540575981140137;0-9;Double bit-flip
t;knapsacksa.cpp;88;1.9138343334197998;0-9;Double bit-flip
tls_init_tp_called;rtld.c;677;2.112215995788574;0-9;Double bit-flip
wt2;knapsacksa.cpp;17;5.560602188110352;0-9;LSB bit-flip
val2;knapsacksa.cpp;15;1.6697871685028076;0-9;LSB bit-flip
_dl_argc;rtld.c;82;2.270406723022461;0-9;LSB bit-flip
wt;knapsacksa.cpp;16;2.953010082244873;0-9;LSB bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;3.4836857318878174;0-9;LSB bit-flip
wt;knapsacksa.cpp;16;2.8416759967803955;0-9;LSB bit-flip
t;knapsacksa.cpp;88;1.3104228973388672;0-9;LSB bit-flip
_dl_rtld_libname;rtld.c;301;1.743988037109375;0-9;LSB bit-flip
tls_init_tp_called;rtld.c;677;1.5333404541015625;0-9;LSB bit-flip
_rtld_global;rtld.c;231;2.489856004714966;0-9;LSB bit-flip
i;knapsacksa.cpp;90;3.4813807010650635;0-9;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;1.4535329341888428;0-9;LSB bit-flip
audit_list;rtld.c;142;2.329676866531372;0-9;LSB bit-flip
__GI___libc_enable_secure;../elf/dl-sysdep.c;58;2.472842216491699;0-9;LSB bit-flip
wt;knapsacksa.cpp;16;3.3258373737335205;0-9;LSB bit-flip
_dl_rtld_libname2;rtld.c;302;2.2369754314422607;0-9;LSB bit-flip
wt2;knapsacksa.cpp;17;5.492163181304932;0-9;LSB bit-flip
t;knapsacksa.cpp;88;6.123725652694702;0-9;LSB bit-flip
wt;knapsacksa.cpp;16;6.41245174407959;0-9;LSB bit-flip
library_path;rtld.c;823;1.9049923419952393;0-9;LSB bit-flip
wt;knapsacksa.cpp;16;2.636423349380493;0-9;LSB bit-flip
