Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
t;knapsacksa.cpp;88;2.325207471847534;0-9;Single bit-flip;0
t;knapsacksa.cpp;88;3.72339129447937;0-9;Single bit-flip;0
t;knapsacksa.cpp;88;3.7963314056396484;0-9;Single bit-flip;0
s;knapsacksa.cpp;89;1.3271713256835938;0-9;Single bit-flip;0
t;knapsacksa.cpp;88;4.317935466766357;0-9;Single bit-flip;0
solution;knapsacksa.cpp;78;3.6833178997039795;0-9;Single bit-flip;0
t;knapsacksa.cpp;88;2.886888027191162;0-9;Single bit-flip;0
t;knapsacksa.cpp;88;0.9805116653442383;0-9;Single bit-flip;0
t;knapsacksa.cpp;88;3.0865635871887207;0-9;Single bit-flip;0
t;knapsacksa.cpp;88;0.7048614025115967;0-9;Single bit-flip;0
t;knapsacksa.cpp;88;1.9064857959747314;0-9;Single bit-flip;0
this;knapsacksa.cpp;0;2.4774675369262695;0-9;Single bit-flip;0
t;knapsacksa.cpp;88;2.2008328437805176;0-9;Single bit-flip;0
t;knapsacksa.cpp;88;2.0439910888671875;0-9;Single bit-flip;0
peso2;knapsacksa.cpp;56;2.323479652404785;0-9;Single bit-flip;1
W;knapsacksa.cpp;13;3.9626030921936035;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;1.881598711013794;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;2.3356494903564453;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;5.601783752441406;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;4.9686644077301025;0-9;Single bit-flip;1
valor2;knapsacksa.cpp;56;3.557978391647339;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;4.448134422302246;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;5.281822443008423;0-9;Single bit-flip;1
W;knapsacksa.cpp;13;2.4669735431671143;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;8.523964643478394;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;3.3393990993499756;0-9;Single bit-flip;1
n;knapsacksa.cpp;13;5.791953086853027;0-9;Single bit-flip;1
val2;knapsacksa.cpp;15;2.468729019165039;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;7.01427960395813;0-9;Single bit-flip;1
valor;knapsacksa.cpp;56;4.930272579193115;0-9;Single bit-flip;1
best;knapsacksa.cpp;81;8.33894395828247;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;4.113938331604004;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;6.00094199180603;0-9;Single bit-flip;1
valor2;knapsacksa.cpp;56;3.396959066390991;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;2.745257616043091;0-9;Single bit-flip;1
peso2;knapsacksa.cpp;56;1.843102216720581;0-9;Single bit-flip;1
valor;knapsacksa.cpp;56;4.466850996017456;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;3.019895553588867;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;2.6871073246002197;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;2.8518190383911133;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;1.3683593273162842;0-9;Single bit-flip;1
temp2;knapsacksa.cpp;84;1.849830150604248;0-9;Single bit-flip;1
W;knapsacksa.cpp;13;1.4301183223724365;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;2.718794822692871;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;2.3375308513641357;0-9;Single bit-flip;1
val;knapsacksa.cpp;14;5.871539115905762;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;5.3925621509552;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;1.6615571975708008;0-9;Single bit-flip;1
wt;knapsacksa.cpp;16;2.2482526302337646;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;1.994056224822998;0-9;Single bit-flip;1
W;knapsacksa.cpp;13;2.805488348007202;0-9;Single bit-flip;1
W;knapsacksa.cpp;13;6.059032917022705;0-9;Single bit-flip;1
wt;knapsacksa.cpp;16;2.571272373199463;0-9;Single bit-flip;1
best2;knapsacksa.cpp;82;2.0671584606170654;0-9;Single bit-flip;1
best2;knapsacksa.cpp;82;4.2890541553497314;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;2.0144095420837402;0-9;Single bit-flip;1
temp;knapsacksa.cpp;83;2.378063917160034;0-9;Single bit-flip;1
i;knapsacksa.cpp;61;1.7755861282348633;0-9;Single bit-flip;1
temp;knapsacksa.cpp;83;5.196141481399536;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;2.098219633102417;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;3.3335604667663574;0-9;Single bit-flip;1
n;knapsacksa.cpp;13;7.279972076416016;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;4.668580532073975;0-9;Single bit-flip;1
peso;knapsacksa.cpp;56;1.2032158374786377;0-9;Single bit-flip;1
valor;knapsacksa.cpp;56;4.309416770935059;0-9;Single bit-flip;1
W;knapsacksa.cpp;13;3.5388028621673584;0-9;Single bit-flip;1
peso2;knapsacksa.cpp;56;3.0610368251800537;0-9;Single bit-flip;1
n;knapsacksa.cpp;13;5.3103179931640625;0-9;Single bit-flip;1
n;knapsacksa.cpp;13;5.257013320922852;0-9;Single bit-flip;1
n;knapsacksa.cpp;13;1.198775053024292;0-9;Single bit-flip;1
peso2;knapsacksa.cpp;56;3.669095277786255;0-9;Single bit-flip;1
best;knapsacksa.cpp;81;3.516740322113037;0-9;Single bit-flip;1
this;knapsacksa.cpp;0;6.252236366271973;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;3.213587999343872;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;5.343461036682129;0-9;Single bit-flip;1
peso;knapsacksa.cpp;56;1.3191282749176025;0-9;Single bit-flip;1
n;knapsacksa.cpp;13;1.689021110534668;0-9;Single bit-flip;1
W;knapsacksa.cpp;13;1.4197895526885986;0-9;Single bit-flip;1
peso2;knapsacksa.cpp;56;2.520172595977783;0-9;Single bit-flip;1
W;knapsacksa.cpp;13;8.082700729370117;0-9;Single bit-flip;1
temp;knapsacksa.cpp;83;3.6226890087127686;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;2.7103042602539062;0-9;Single bit-flip;1
n2;knapsacksa.cpp;13;1.9848177433013916;0-9;Single bit-flip;1
best2;knapsacksa.cpp;82;1.925790786743164;0-9;Single bit-flip;1
n;knapsacksa.cpp;13;2.1904990673065186;0-9;Single bit-flip;1
i;knapsacksa.cpp;90;2.674440383911133;0-9;Single bit-flip;1
W;knapsacksa.cpp;13;2.92181658744812;0-9;Single bit-flip;1
peso2;knapsacksa.cpp;56;2.3057570457458496;0-9;Single bit-flip;1
peso2;knapsacksa.cpp;56;2.044973850250244;0-9;Single bit-flip;1
temp;knapsacksa.cpp;83;6.629051685333252;0-9;Single bit-flip;1
W;knapsacksa.cpp;13;2.6081440448760986;0-9;Single bit-flip;1
valor;knapsacksa.cpp;56;8.69949197769165;0-9;Single bit-flip;1
W2;knapsacksa.cpp;13;4.32743501663208;0-9;Single bit-flip;1
