Faults Injected:;9973

Fault Effect;#Effect;PVF
Masked;3659;0.3668906046325078
SDCs;4354;0.4365787626591798
Crashes;1821;0.18259300110297805
Hangs;139;0.013937631605334403


Detected SDCs:;4276
SDC Coverage (%):;98.20854386770786

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Zero bit-flip;909;20.87735415709692
Double bit-flip;890;20.440973817179607
Random bit-flip;877;20.142397795130915
Single bit-flip;856;19.660082682590723
LSB bit-flip;822;18.879191548001835

FaultModels Detected SDCs:
FaultModel ;#SDCs Detected; percentage
Zero bit-flip;905;20.78548461185117
Double bit-flip;871;20.004593477262286
Random bit-flip;864;19.843821773082222
Single bit-flip;842;19.33853927423059
LSB bit-flip;794;18.23610473128158

FaultModels Crashes:
FaultModel ;#Crashes;percentage
LSB bit-flip;449;24.656781987918727
Random bit-flip;387;21.25205930807249
Single bit-flip;386;21.197144426139484
Double bit-flip;358;19.659527732015373
Zero bit-flip;241;13.234486545853926

FaultModels Hangs:
FaultModel ;#Hangs;percentage
Random bit-flip;45;32.37410071942446
Double bit-flip;27;19.424460431654676
Zero bit-flip;25;17.985611510791365
Single bit-flip;21;15.107913669064748
LSB bit-flip;21;15.107913669064748

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
87.41092636579573;842;736;W2;knapsacksa.cpp;13
87.69414575866189;837;734;W;knapsacksa.cpp;13
87.56218905472637;804;704;n2;knapsacksa.cpp;13
40.69627851140456;833;339;n;knapsacksa.cpp;13
90.45454545454545;220;199;valor;knapsacksa.cpp;56
89.04109589041096;219;195;peso;knapsacksa.cpp;56
78.53658536585367;205;161;peso2;knapsacksa.cpp;56
87.84530386740332;181;159;temp;knapsacksa.cpp;83
87.8048780487805;164;144;best;knapsacksa.cpp;81
86.50306748466258;163;141;best2;knapsacksa.cpp;82
77.34806629834254;181;140;valor2;knapsacksa.cpp;56
86.66666666666667;150;130;temp2;knapsacksa.cpp;84
18.88246628131021;519;98;wt;knapsacksa.cpp;16
16.574585635359114;543;90;wt2;knapsacksa.cpp;17
17.46031746031746;504;88;val2;knapsacksa.cpp;15
16.730038022813687;526;88;val;knapsacksa.cpp;14
30.337078651685395;178;54;t;knapsacksa.cpp;88
48.45360824742268;97;47;i;knapsacksa.cpp;57
42.857142857142854;98;42;i;knapsacksa.cpp;61
16.8;125;21;s;knapsacksa.cpp;89
21.978021978021978;91;20;solution;knapsacksa.cpp;51
6.666666666666667;120;8;solution;knapsacksa.cpp;78
6.0;100;6;this;knapsacksa.cpp;0
4.2105263157894735;95;4;__n;/usr/include/c++/7/bits/stl_vector.h;795
1.257861635220126;159;2;i;knapsacksa.cpp;90
100.0;1;1;randtbl;random.c;146
50.0;2;1;unsafe_state;random.c;160
33.33333333333333;3;1;__first;/usr/include/c++/7/bits/stl_uninitialized.h;287
0.5376344086021506;186;1;c;knapsacksa.cpp;92

Variables that caused Detected SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
87.41092636579573;842;736;W2;knapsacksa.cpp;13
87.69414575866189;837;734;W;knapsacksa.cpp;13
87.56218905472637;804;704;n2;knapsacksa.cpp;13
40.69627851140456;833;339;n;knapsacksa.cpp;13
90.45454545454545;220;199;valor;knapsacksa.cpp;56
89.04109589041096;219;195;peso;knapsacksa.cpp;56
78.53658536585367;205;161;peso2;knapsacksa.cpp;56
87.84530386740332;181;159;temp;knapsacksa.cpp;83
87.8048780487805;164;144;best;knapsacksa.cpp;81
86.50306748466258;163;141;best2;knapsacksa.cpp;82
77.34806629834254;181;140;valor2;knapsacksa.cpp;56
86.66666666666667;150;130;temp2;knapsacksa.cpp;84
18.88246628131021;519;98;wt;knapsacksa.cpp;16
16.574585635359114;543;90;wt2;knapsacksa.cpp;17
17.46031746031746;504;88;val2;knapsacksa.cpp;15
16.730038022813687;526;88;val;knapsacksa.cpp;14
48.45360824742268;97;47;i;knapsacksa.cpp;57
42.857142857142854;98;42;i;knapsacksa.cpp;61
18.681318681318682;91;17;solution;knapsacksa.cpp;51
9.6;125;12;s;knapsacksa.cpp;89
5.0;100;5;this;knapsacksa.cpp;0
4.2105263157894735;95;4;__n;/usr/include/c++/7/bits/stl_vector.h;795
1.257861635220126;159;2;i;knapsacksa.cpp;90
0.8333333333333334;120;1;solution;knapsacksa.cpp;78

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
59.30372148859544;833;494;n;knapsacksa.cpp;13
12.589073634204276;842;106;W2;knapsacksa.cpp;13
12.305854241338112;837;103;W;knapsacksa.cpp;13
12.437810945273633;804;100;n2;knapsacksa.cpp;13
100.0;88;88;user_entry;../elf/dl-sysdep.c;91
13.627992633517497;543;74;wt2;knapsacksa.cpp;17
13.690476190476192;504;69;val2;knapsacksa.cpp;15
12.716763005780345;519;66;wt;knapsacksa.cpp;16
12.167300380228136;526;64;val;knapsacksa.cpp;14
57.14285714285714;98;56;i;knapsacksa.cpp;61
50.51546391752577;97;49;i;knapsacksa.cpp;57
71.66666666666667;60;43;_dl_skip_args;rtld.c;84
41.05263157894737;95;39;__n;/usr/include/c++/7/bits/stl_vector.h;795
100.0;28;28;__exit_funcs_done;exit.c;31
26.0;100;26;this;knapsacksa.cpp;0
21.666666666666668;120;26;solution;knapsacksa.cpp;78
12.195121951219512;205;25;peso2;knapsacksa.cpp;56
13.259668508287293;181;24;valor2;knapsacksa.cpp;56
10.50228310502283;219;23;peso;knapsacksa.cpp;56
13.529411764705882;170;23;delta;knapsacksa.cpp;96
11.827956989247312;186;22;c;knapsacksa.cpp;92
