Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
val;knapsackdp.cpp;10;1.527097225189209;1-3;Random bit-flip
w;knapsackdp.cpp;19;1.1731181144714355;1-3;Random bit-flip
wt;knapsackdp.cpp;10;1.799022912979126;1-3;Random bit-flip
i;knapsackdp.cpp;18;1.9809470176696777;1-3;Random bit-flip
i;knapsackdp.cpp;18;1.601764440536499;1-3;Random bit-flip
val;knapsackdp.cpp;10;1.3763575553894043;1-3;Random bit-flip
i;knapsackdp.cpp;18;1.3067724704742432;1-3;Random bit-flip
n;knapsackdp.cpp;10;1.3013560771942139;1-3;Random bit-flip
n;knapsackdp.cpp;10;1.1398983001708984;1-3;Random bit-flip
w;knapsackdp.cpp;19;1.1454479694366455;1-3;Random bit-flip
n;knapsackdp.cpp;10;1.4376041889190674;1-3;Random bit-flip
n;knapsackdp.cpp;10;1.1761608123779297;1-3;Random bit-flip
i;knapsackdp.cpp;18;1.9791483879089355;1-3;Random bit-flip
n;knapsackdp.cpp;10;1.6203036308288574;1-3;Random bit-flip
V;knapsackdp.cpp;11;1.2957470417022705;1-3;Random bit-flip
V;knapsackdp.cpp;11;1.1576390266418457;1-3;Random bit-flip
i;knapsackdp.cpp;18;1.6771266460418701;1-3;Random bit-flip
wt;knapsackdp.cpp;10;1.2013013362884521;1-3;Random bit-flip
i;knapsackdp.cpp;18;1.327704668045044;1-3;Random bit-flip
V;knapsackdp.cpp;11;1.3248696327209473;1-3;Random bit-flip
i;knapsackdp.cpp;18;1.4978065490722656;1-3;Random bit-flip
val;knapsackdp.cpp;10;1.4398713111877441;1-3;Random bit-flip
w;knapsackdp.cpp;19;1.9124979972839355;1-3;Random bit-flip
w;knapsackdp.cpp;19;1.0524075031280518;1-3;Random bit-flip
W;knapsackdp.cpp;10;1.6286120414733887;1-3;Random bit-flip
W;knapsackdp.cpp;10;1.5374948978424072;1-3;Random bit-flip
W;knapsackdp.cpp;10;2.166923999786377;1-3;Random bit-flip
W;knapsackdp.cpp;10;1.6098570823669434;1-3;Random bit-flip
