Faults Injected:;1601

Fault Effect;#Effect;PVF
Masked;581;0.36289818863210493
SDCs;238;0.1486570893191755
Crashes;767;0.4790755777638976
Hangs;15;0.009369144284821987

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Random bit-flip;238;100.0

FaultModels Crashes:
FaultModel ;#Crashes;percentage
Random bit-flip;767;100.0

FaultModels Hangs:
FaultModel ;#Hangs;percentage
Random bit-flip;15;100.0

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
81.19658119658119;234;190;W;knapsackga.cpp;16
8.024691358024691;162;13;wt;knapsackga.cpp;15
41.935483870967744;31;13;g;knapsackga.cpp;94
7.228915662650602;166;12;val;knapsackga.cpp;14
9.523809523809524;21;2;new_pop;knapsackga.cpp;95
22.22222222222222;9;2;unsafe_state;random.c;160
100.0;1;1;val;random_r.c;374
6.666666666666667;15;1;i;knapsackga.cpp;109
10.0;10;1;mae;knapsackga.cpp;101
33.33333333333333;3;1;i;knapsackga.cpp;73
25.0;4;1;randtbl;random.c;146
8.333333333333332;12;1;peso;knapsackga.cpp;24

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
100.0;242;242;pop_size;knapsackga.cpp;17
99.17355371900827;242;240;n;knapsackga.cpp;16
18.803418803418804;234;44;W;knapsackga.cpp;16
17.28395061728395;162;28;wt;knapsackga.cpp;15
13.855421686746988;166;23;val;knapsackga.cpp;14
37.5;56;21;this;knapsackga.cpp;0
93.33333333333333;15;14;i;knapsackga.cpp;109
100.0;11;11;i;knapsackga.cpp;78
76.92307692307693;13;10;i;knapsackga.cpp;25
45.45454545454545;22;10;pop;knapsackga.cpp;87
22.58064516129032;31;7;g;knapsackga.cpp;94
33.33333333333333;21;7;new_pop;knapsackga.cpp;95
62.5;8;5;filho1;knapsackga.cpp;101
18.181818181818183;22;4;f1;knapsackga.cpp;105
50.0;8;4;__x;/usr/include/c++/7/bits/stl_vector.h;939
13.793103448275861;29;4;best;knapsackga.cpp;92
44.44444444444444;9;4;unsafe_state;random.c;160
75.0;4;3;randtbl;random.c;146
27.27272727272727;11;3;pai;knapsackga.cpp;101
100.0;3;3;__position;/usr/include/c++/7/bits/vector.tcc;395
75.0;4;3;filho2;knapsackga.cpp;101
100.0;3;3;__args#0;/usr/include/c++/7/bits/vector.tcc;395
100.0;3;3;filho1;knapsackga.cpp;71
100.0;3;3;__xlen;/usr/include/c++/7/bits/vector.tcc;203
28.57142857142857;7;2;__first;/usr/include/c++/7/bits/stl_algo.h;4826
15.384615384615385;13;2;f2;knapsackga.cpp;105
100.0;2;2;__result;/usr/include/c++/7/bits/stl_algobase.h;319
40.0;5;2;__b;/usr/include/c++/7/bits/move.h;187
18.181818181818183;11;2;mask;knapsackga.cpp;72
66.66666666666666;3;2;__last;/usr/include/c++/7/bits/stl_construct.h;105
66.66666666666666;3;2;__args#0;/usr/include/c++/7/ext/new_allocator.h;135
66.66666666666666;3;2;__p;/usr/include/c++/7/bits/stl_vector.h;176
100.0;2;2;__i;/usr/include/c++/7/bits/stl_algo.h;1845
66.66666666666666;3;2;__new_start;/usr/include/c++/7/bits/vector.tcc;406
100.0;2;2;__alloc;/usr/include/c++/7/bits/stl_uninitialized.h;308
66.66666666666666;3;2;__first;/usr/include/c++/7/bits/stl_algo.h;1840
66.66666666666666;3;2;__first;/usr/include/c++/7/bits/stl_construct.h;203
28.57142857142857;7;2;__n;/usr/include/c++/7/bits/stl_vector.h;795
50.0;4;2;solution;knapsackga.cpp;23
25.0;4;1;__last;/usr/include/c++/7/bits/stl_uninitialized.h;287
25.0;4;1;__tmp;/usr/include/c++/7/bits/move.h;198
50.0;2;1;randIndex;knapsackga.cpp;62
100.0;1;1;__first;/usr/include/c++/7/bits/stl_uninitialized.h;76
100.0;1;1;__last;/usr/include/c++/7/bits/stl_algo.h;1821
16.666666666666664;6;1;mae;knapsackga.cpp;71
10.0;10;1;mae;knapsackga.cpp;101
33.33333333333333;3;1;__result;/usr/include/c++/7/bits/stl_algobase.h;375
100.0;1;1;__pointer;/usr/include/c++/7/bits/stl_construct.h;97
100.0;1;1;__first;/usr/include/c++/7/bits/stl_algobase.h;749
33.33333333333333;3;1;__n;/usr/include/c++/7/bits/stl_vector.h;176
100.0;1;1;__first;/usr/include/c++/7/bits/stl_construct.h;105
50.0;2;1;__a;/usr/include/c++/7/bits/alloc_traits.h;435
100.0;1;1;__two;/usr/include/c++/7/bits/alloc_traits.h;543
100.0;1;1;_Num;/usr/include/c++/7/bits/stl_algobase.h;366
33.33333333333333;3;1;__new_finish;/usr/include/c++/7/bits/vector.tcc;407
100.0;1;1;__y;/usr/include/c++/7/bits/stl_iterator.h;1137
25.0;4;1;competitors;knapsackga.cpp;59
100.0;1;1;__x;/usr/include/c++/7/bits/stl_vector.h;103
50.0;2;1;__first;/usr/include/c++/7/bits/stl_algo.h;1880
25.0;4;1;__last;/usr/include/c++/7/bits/stl_uninitialized.h;306
100.0;1;1;__cur;/usr/include/c++/7/bits/stl_uninitialized.h;79
100.0;1;1;__a;/usr/include/c++/7/bits/stl_vector.h;283
50.0;2;1;__first;/usr/include/c++/7/bits/stl_algo.h;1940
100.0;1;1;__last;/usr/include/c++/7/bits/stl_algo.h;1864
100.0;1;1;__last;/usr/include/c++/7/bits/stl_algo.h;1897
33.33333333333333;3;1;i;knapsackga.cpp;73
14.285714285714285;7;1;retval;random.c;289
33.33333333333333;3;1;__result;/usr/include/c++/7/bits/stl_uninitialized.h;288
50.0;2;1;__first;/usr/include/c++/7/bits/stl_construct.h;127
100.0;1;1;set;../sysdeps/unix/sysv/linux/raise.c;39
8.333333333333332;12;1;peso;knapsackga.cpp;24
16.666666666666664;6;1;__a;/usr/include/c++/7/bits/move.h;187
50.0;2;1;__simple;/usr/include/c++/7/bits/stl_algobase.h;380
100.0;1;1;__n;/usr/include/c++/7/bits/alloc_traits.h;461
100.0;1;1;__n;/usr/include/c++/7/ext/new_allocator.h;99
33.33333333333333;3;1;filho2;knapsackga.cpp;71
100.0;1;1;__last;/usr/include/c++/7/bits/stl_uninitialized.h;76

Variables that caused Hang:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
35.483870967741936;31;11;g;knapsackga.cpp;94
66.66666666666666;3;2;i;knapsackga.cpp;61
0.8264462809917356;242;2;n;knapsackga.cpp;16
