Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
g;knapsackga.cpp;94;1.646864414215088;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.0141966342926025;1-3.5;Random bit-flip
i;knapsackga.cpp;61;1.3664014339447021;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.9053339958190918;1-3.5;Random bit-flip
n;knapsackga.cpp;16;2.531487464904785;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.2069578170776367;1-3.5;Random bit-flip
i;knapsackga.cpp;61;2.1782424449920654;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.8526124954223633;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.6971116065979004;1-3.5;Random bit-flip
g;knapsackga.cpp;94;1.2219529151916504;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.6243531703948975;1-3.5;Random bit-flip
g;knapsackga.cpp;94;3.010643482208252;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.8694562911987305;1-3.5;Random bit-flip
n;knapsackga.cpp;16;2.6816887855529785;1-3.5;Random bit-flip
g;knapsackga.cpp;94;2.1814446449279785;1-3.5;Random bit-flip
