Faults Injected:;10365

Fault Effect;#Effect;PVF
Masked;3856;0.3720212252773758
SDCs;1814;0.1750120598166908
Crashes;4632;0.44688856729377713
Hangs;63;0.006078147612156295

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Double bit-flip;390;21.499448732083792
Single bit-flip;387;21.334068357221607
LSB bit-flip;374;20.61742006615215
Zero bit-flip;341;18.798235942668136
Random bit-flip;322;17.750826901874312

FaultModels Crashes:
FaultModel ;#Crashes;percentage
Random bit-flip;985;21.265112262521587
LSB bit-flip;945;20.401554404145077
Double bit-flip;917;19.79706390328152
Zero bit-flip;911;19.66753022452504
Single bit-flip;874;18.868739205526772

FaultModels Hangs:
FaultModel ;#Hangs;percentage
Random bit-flip;23;36.507936507936506
Single bit-flip;14;22.22222222222222
LSB bit-flip;13;20.634920634920633
Double bit-flip;12;19.047619047619047
Zero bit-flip;1;1.5873015873015872

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
82.94377763739735;1583;1313;W;knapsackga.cpp;16
57.199999999999996;250;143;g;knapsackga.cpp;94
9.683604985618409;1043;101;val;knapsackga.cpp;14
5.9405940594059405;1010;60;wt;knapsackga.cpp;15
3.898635477582846;1539;60;n;knapsackga.cpp;16
2.4675324675324677;1540;38;pop_size;knapsackga.cpp;17
46.26865671641791;67;31;i;knapsackga.cpp;109
68.75;32;22;randtbl;random.c;146
48.275862068965516;29;14;i;knapsackga.cpp;73
28.57142857142857;35;10;unsafe_state;random.c;160
4.444444444444445;135;6;new_pop;knapsackga.cpp;95
19.230769230769234;26;5;i;knapsackga.cpp;61
100.0;2;2;val;random_r.c;374
4.0;25;1;solution;knapsackga.cpp;23
14.285714285714285;7;1;__first;/usr/include/c++/7/bits/stl_vector.h;1258
1.5384615384615385;65;1;mae;knapsackga.cpp;101
33.33333333333333;3;1;fptr;random_r.c;371
1.1363636363636365;88;1;peso;knapsackga.cpp;24
1.6666666666666667;60;1;valor;knapsackga.cpp;24
4.0;25;1;__a;/usr/include/c++/7/bits/move.h;187
0.9708737864077669;103;1;pop;knapsackga.cpp;87
0.3048780487804878;328;1;this;knapsackga.cpp;0

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
