Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
data;quicksort-fulldup.c;43;0.8714382648468018;0-5;Random bit-flip
_rtld_global;rtld.c;231;0.8517510890960693;0-5;Random bit-flip
less;quicksort-fulldup.c;14;4.691395282745361;0-5;Random bit-flip
data;quicksort-fulldup.c;43;1.632171869277954;0-5;Random bit-flip
outputFile;quicksort-fulldup.c;83;2.1716110706329346;0-5;Random bit-flip
a;quicksort-fulldup.c;10;1.4932782649993896;0-5;Random bit-flip
inputFile;quicksort-fulldup.c;83;2.0231752395629883;0-5;Random bit-flip
data;quicksort-fulldup.c;43;1.6596693992614746;0-5;Random bit-flip
inputFile;quicksort-fulldup.c;83;0.9731392860412598;0-5;Random bit-flip
inputFile;quicksort-fulldup.c;41;1.0979657173156738;0-5;Random bit-flip
outputFile;quicksort-fulldup.c;83;0.8573412895202637;0-5;Random bit-flip
tmp;quicksort-fulldup.c;13;3.4826343059539795;0-5;Random bit-flip
