Faults Injected:;100

Fault Effect;#Effect;PVF
Masked;75;0.75
SDCs;10;0.1
Crashes;12;0.12
Hangs;3;0.03


Detected SDCs:;9
SDC Coverage (%):;90.0

FaultModels SDCs:
FaultModel ;#SDCs;percentage
Random bit-flip;10;100.0

FaultModels Detected SDCs:
FaultModel ;#SDCs Detected; percentage
Random bit-flip;9;90.0

FaultModels Crashes:
FaultModel ;#Crashes;percentage
Random bit-flip;12;100.0

FaultModels Hangs:
FaultModel ;#Hangs;percentage
Random bit-flip;3;100.0

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
46.15384615384615;13;6;a;quicksort-fulldup.c;10
37.5;8;3;data;quicksort-fulldup.c;43
100.0;1;1;size;quicksort-fulldup.c;82

Variables that caused Detected SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
46.15384615384615;13;6;a;quicksort-fulldup.c;10
37.5;8;3;data;quicksort-fulldup.c;43

Variables that caused Crash:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
37.5;8;3;data;quicksort-fulldup.c;43
100.0;2;2;outputFile;quicksort-fulldup.c;83
100.0;2;2;inputFile;quicksort-fulldup.c;83
50.0;2;1;_rtld_global;rtld.c;231
8.333333333333332;12;1;less;quicksort-fulldup.c;14
7.6923076923076925;13;1;a;quicksort-fulldup.c;10
25.0;4;1;inputFile;quicksort-fulldup.c;41
20.0;5;1;tmp;quicksort-fulldup.c;13

Variables that caused Hang:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
25.0;8;2;data;quicksort-fulldup.c;43
50.0;2;1;_rtld_global;rtld.c;231
