Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;knapsacksa.cpp;15;1.9569787979125977;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.82297682762146;0-2;LSB bit-flip
i;knapsacksa.cpp;27;1.5462536811828613;0-2;LSB bit-flip
val;knapsacksa.cpp;13;0.6442661285400391;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.0329749584197998;0-2;LSB bit-flip
__p;/usr/include/c++/7/ext/new_allocator.h;116;1.5045721530914307;0-2;LSB bit-flip
i;knapsacksa.cpp;27;1.1879477500915527;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.9252943992614746;0-2;LSB bit-flip
i;knapsacksa.cpp;48;0.6226720809936523;0-2;LSB bit-flip
wt;knapsacksa.cpp;14;0.9376547336578369;0-2;LSB bit-flip
W;knapsacksa.cpp;15;2.233081102371216;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.529076337814331;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.333500623703003;0-2;LSB bit-flip
_rtld_global;rtld.c;231;1.1468331813812256;0-2;LSB bit-flip
s;knapsacksa.cpp;47;1.182983160018921;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.6478478908538818;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.29143595695495605;0-2;LSB bit-flip
val;knapsacksa.cpp;13;2.0596463680267334;0-2;LSB bit-flip
solution;knapsacksa.cpp;38;1.7784423828125;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.444467306137085;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0266492366790771;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.5642921924591064;0-2;LSB bit-flip
delta;knapsacksa.cpp;51;1.9000940322875977;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1156439781188965;0-2;LSB bit-flip
i;knapsacksa.cpp;27;1.637657880783081;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.681797981262207;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9709546566009521;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.35713672637939453;0-2;LSB bit-flip
i;knapsacksa.cpp;27;1.5091407299041748;0-2;LSB bit-flip
valor;knapsacksa.cpp;26;1.0014278888702393;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.9154517650604248;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.0628695487976074;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.9974091053009033;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.9384286403656006;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.6182279586791992;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8517634868621826;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.722278356552124;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.767829179763794;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.375746250152588;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.6869134902954102;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.432873010635376;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.4143409729003906;0-2;LSB bit-flip
valor;knapsacksa.cpp;26;1.496891736984253;0-2;LSB bit-flip
val;knapsacksa.cpp;13;1.1349997520446777;0-2;LSB bit-flip
i;knapsacksa.cpp;27;0.6926898956298828;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.4280178546905518;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;1.2011282444000244;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.9320082664489746;0-2;LSB bit-flip
i;knapsacksa.cpp;27;1.2840712070465088;0-2;LSB bit-flip
temp;knapsacksa.cpp;42;0.6813271045684814;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.3264045715332031;0-2;LSB bit-flip
peso;knapsacksa.cpp;26;1.2705764770507812;0-2;LSB bit-flip
W;knapsacksa.cpp;15;0.8936750888824463;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.6734921932220459;0-2;LSB bit-flip
solution;knapsacksa.cpp;25;1.2063336372375488;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.9348471164703369;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.8775441646575928;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6076319217681885;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.2180016040802002;0-2;LSB bit-flip
i;knapsacksa.cpp;27;0.9033470153808594;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.8853158950805664;0-2;LSB bit-flip
this;knapsacksa.cpp;0;0.8902461528778076;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.7786016464233398;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.7622392177581787;0-2;LSB bit-flip
wt;knapsacksa.cpp;14;0.6168608665466309;0-2;LSB bit-flip
W;knapsacksa.cpp;15;1.5203163623809814;0-2;LSB bit-flip
this;knapsacksa.cpp;0;1.5528545379638672;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7490208148956299;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.3346490859985352;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.6417157649993896;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.3728830814361572;0-2;LSB bit-flip
this;knapsacksa.cpp;0;1.7205181121826172;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.38105249404907227;0-2;LSB bit-flip
valor;knapsacksa.cpp;26;0.9884285926818848;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.6757972240447998;0-2;LSB bit-flip
i;knapsacksa.cpp;27;1.1727771759033203;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.5904598236083984;0-2;LSB bit-flip
wt;knapsacksa.cpp;14;1.9471807479858398;0-2;LSB bit-flip
_rtld_global;rtld.c;231;0.5738537311553955;0-2;LSB bit-flip
solution;knapsacksa.cpp;38;0.7973260879516602;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.3593149185180664;0-2;LSB bit-flip
n;knapsacksa.cpp;15;2.4379894733428955;0-2;LSB bit-flip
val;knapsacksa.cpp;13;1.2575981616973877;0-2;LSB bit-flip
__GI__dl_argv;rtld.c;83;0.5686171054840088;0-2;LSB bit-flip
_rtld_global;rtld.c;231;0.8959369659423828;0-2;LSB bit-flip
i;knapsacksa.cpp;27;1.457740306854248;0-2;LSB bit-flip
n;knapsacksa.cpp;15;0.45438694953918457;0-2;LSB bit-flip
_rtld_global_ro;rtld.c;259;0.5512163639068604;0-2;LSB bit-flip
s;knapsacksa.cpp;47;1.9007303714752197;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9103667736053467;0-2;LSB bit-flip
solution;knapsacksa.cpp;38;1.3127472400665283;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.5128099918365479;0-2;LSB bit-flip
peso;knapsacksa.cpp;26;1.4466552734375;0-2;LSB bit-flip
val;knapsacksa.cpp;13;0.9380691051483154;0-2;LSB bit-flip
_dl_skip_args;rtld.c;84;0.6575949192047119;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.222163200378418;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.3170111179351807;0-2;LSB bit-flip
s;knapsacksa.cpp;47;2.0244944095611572;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.0549354553222656;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.8071155548095703;0-2;LSB bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0038044452667236;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.5520992279052734;0-2;LSB bit-flip
n;knapsacksa.cpp;15;1.066244125366211;0-2;LSB bit-flip
