Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
W;knapsacksa.cpp;15;0.8615128993988037;0-2;LSB bit-flip
temp;knapsacksa.cpp;42;1.5157396793365479;0-2;LSB bit-flip
W;knapsacksa.cpp;15;1.1245949268341064;0-2;LSB bit-flip
peso;knapsacksa.cpp;26;0.9515097141265869;0-2;LSB bit-flip
W;knapsacksa.cpp;15;1.1991872787475586;0-2;LSB bit-flip
t;knapsacksa.cpp;46;1.0672416687011719;0-2;LSB bit-flip
W;knapsacksa.cpp;15;0.8442533016204834;0-2;LSB bit-flip
best;knapsacksa.cpp;41;1.2928414344787598;0-2;LSB bit-flip
wt;knapsacksa.cpp;14;1.4249424934387207;0-2;LSB bit-flip
best;knapsacksa.cpp;41;1.6160151958465576;0-2;LSB bit-flip
W;knapsacksa.cpp;15;0.9517354965209961;0-2;LSB bit-flip
W;knapsacksa.cpp;15;0.8410067558288574;0-2;LSB bit-flip
W;knapsacksa.cpp;15;1.320732831954956;0-2;LSB bit-flip
W;knapsacksa.cpp;15;0.8457963466644287;0-2;LSB bit-flip
temp;knapsacksa.cpp;42;1.168689250946045;0-2;LSB bit-flip
temp;knapsacksa.cpp;42;1.2681338787078857;0-2;LSB bit-flip
temp;knapsacksa.cpp;42;1.285033941268921;0-2;LSB bit-flip
best;knapsacksa.cpp;41;1.2365772724151611;0-2;LSB bit-flip
W;knapsacksa.cpp;15;0.7518117427825928;0-2;LSB bit-flip
t;knapsacksa.cpp;46;1.3153393268585205;0-2;LSB bit-flip
W;knapsacksa.cpp;15;0.8043053150177002;0-2;LSB bit-flip
W;knapsacksa.cpp;15;1.2630908489227295;0-2;LSB bit-flip
W;knapsacksa.cpp;15;1.4907934665679932;0-2;LSB bit-flip
t;knapsacksa.cpp;46;1.0094923973083496;0-2;LSB bit-flip
W;knapsacksa.cpp;15;1.4828376770019531;0-2;LSB bit-flip
valor;knapsacksa.cpp;26;1.6968777179718018;0-2;LSB bit-flip
