Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;knapsacksa.cpp;15;1.787557601928711;0-2;Random bit-flip
W;knapsacksa.cpp;15;2.117628574371338;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.93373441696167;0-2;Random bit-flip
i;knapsacksa.cpp;48;1.0074505805969238;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.5322926044464111;0-2;Random bit-flip
i;knapsacksa.cpp;27;0.8765420913696289;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0553960800170898;0-2;Random bit-flip
_Num;/usr/include/c++/7/bits/stl_algobase.h;366;1.0543129444122314;0-2;Random bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;1.284463882446289;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;1.2321183681488037;0-2;Random bit-flip
delta;knapsacksa.cpp;51;1.4082627296447754;0-2;Random bit-flip
i;knapsacksa.cpp;27;1.2625069618225098;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.972891092300415;0-2;Random bit-flip
t;knapsacksa.cpp;46;2.4427292346954346;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.6182126998901367;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.5050914287567139;0-2;Random bit-flip
solution;knapsacksa.cpp;38;1.1031761169433594;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.9399819374084473;0-2;Random bit-flip
this;knapsacksa.cpp;0;2.0867109298706055;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.3911924362182617;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.1724438667297363;0-2;Random bit-flip
wt;knapsacksa.cpp;14;0.9915392398834229;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.0980360507965088;0-2;Random bit-flip
n;knapsacksa.cpp;15;0.4811680316925049;0-2;Random bit-flip
valor;knapsacksa.cpp;26;1.2944931983947754;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.5078067779541016;0-2;Random bit-flip
i;knapsacksa.cpp;27;0.9875905513763428;0-2;Random bit-flip
val;knapsacksa.cpp;13;0.9090476036071777;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.816683292388916;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.2686097621917725;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.318983793258667;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.316643476486206;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.4364380836486816;0-2;Random bit-flip
i;knapsacksa.cpp;27;1.7524352073669434;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.248589277267456;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.2738738059997559;0-2;Random bit-flip
n;knapsacksa.cpp;15;0.6474015712738037;0-2;Random bit-flip
n;knapsacksa.cpp;15;0.9040830135345459;0-2;Random bit-flip
best;knapsacksa.cpp;41;2.056522846221924;0-2;Random bit-flip
user_entry;../elf/dl-sysdep.c;91;0.32653093338012695;0-2;Random bit-flip
n;knapsacksa.cpp;15;1.0643420219421387;0-2;Random bit-flip
