Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
t;knapsacksa.cpp;46;2.4531614780426025;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.7166366577148438;0-2;Random bit-flip
t;knapsacksa.cpp;46;0.7995791435241699;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.2144548892974854;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.515472412109375;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.0411360263824463;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.089449167251587;0-2;Random bit-flip
t;knapsacksa.cpp;46;0.6326985359191895;0-2;Random bit-flip
t;knapsacksa.cpp;46;0.48511743545532227;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.1556415557861328;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.1429314613342285;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.1900756359100342;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.4562556743621826;0-2;Random bit-flip
t;knapsacksa.cpp;46;0.6104481220245361;0-2;Random bit-flip
