Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
s;knapsacksa.cpp;47;0.6027307510375977;0-2;Random bit-flip
W;knapsacksa.cpp;15;0.8712749481201172;0-2;Random bit-flip
valor;knapsacksa.cpp;26;1.4061994552612305;0-2;Random bit-flip
peso;knapsacksa.cpp;26;1.2947161197662354;0-2;Random bit-flip
valor;knapsacksa.cpp;26;1.2752809524536133;0-2;Random bit-flip
valor;knapsacksa.cpp;26;1.5481877326965332;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.3916511535644531;0-2;Random bit-flip
best;knapsacksa.cpp;41;0.944495677947998;0-2;Random bit-flip
W;knapsacksa.cpp;15;2.011026620864868;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.3637590408325195;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.3499565124511719;0-2;Random bit-flip
wt;knapsacksa.cpp;14;1.6750965118408203;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.3314504623413086;0-2;Random bit-flip
valor;knapsacksa.cpp;26;0.43911218643188477;0-2;Random bit-flip
wt;knapsacksa.cpp;14;1.3302497863769531;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.1630456447601318;0-2;Random bit-flip
best;knapsacksa.cpp;41;0.9155619144439697;0-2;Random bit-flip
best;knapsacksa.cpp;41;1.7385447025299072;0-2;Random bit-flip
valor;knapsacksa.cpp;26;1.757572889328003;0-2;Random bit-flip
valor;knapsacksa.cpp;26;1.0841848850250244;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.03517484664917;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.295813798904419;0-2;Random bit-flip
W;knapsacksa.cpp;15;0.6249210834503174;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.0900864601135254;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.4348397254943848;0-2;Random bit-flip
W;knapsacksa.cpp;15;0.8092730045318604;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.3939580917358398;0-2;Random bit-flip
c;knapsacksa.cpp;50;0.6596634387969971;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.0179452896118164;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.093571424484253;0-2;Random bit-flip
best;knapsacksa.cpp;41;1.223008155822754;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.3288910388946533;0-2;Random bit-flip
best;knapsacksa.cpp;41;1.8742883205413818;0-2;Random bit-flip
best;knapsacksa.cpp;41;1.5494790077209473;0-2;Random bit-flip
best;knapsacksa.cpp;41;2.0640482902526855;0-2;Random bit-flip
temp;knapsacksa.cpp;42;1.8043653964996338;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.347388505935669;0-2;Random bit-flip
W;knapsacksa.cpp;15;0.9035866260528564;0-2;Random bit-flip
W;knapsacksa.cpp;15;0.7181487083435059;0-2;Random bit-flip
temp;knapsacksa.cpp;42;1.3385601043701172;0-2;Random bit-flip
valor;knapsacksa.cpp;26;1.1621758937835693;0-2;Random bit-flip
W;knapsacksa.cpp;15;0.7706513404846191;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.0285723209381104;0-2;Random bit-flip
i;knapsacksa.cpp;27;1.4795575141906738;0-2;Random bit-flip
W;knapsacksa.cpp;15;0.6846513748168945;0-2;Random bit-flip
W;knapsacksa.cpp;15;0.6590125560760498;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.405052661895752;0-2;Random bit-flip
val;knapsacksa.cpp;13;0.7827463150024414;0-2;Random bit-flip
valor;knapsacksa.cpp;26;0.7050642967224121;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.4136300086975098;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.14280366897583;0-2;Random bit-flip
solution;knapsacksa.cpp;25;1.675480604171753;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.134486436843872;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.6339776515960693;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.042266845703125;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.2439606189727783;0-2;Random bit-flip
val;knapsacksa.cpp;13;1.957106351852417;0-2;Random bit-flip
valor;knapsacksa.cpp;26;0.4593944549560547;0-2;Random bit-flip
W;knapsacksa.cpp;15;0.7004446983337402;0-2;Random bit-flip
val;knapsacksa.cpp;13;1.4744617938995361;0-2;Random bit-flip
peso;knapsacksa.cpp;26;1.4753830432891846;0-2;Random bit-flip
temp;knapsacksa.cpp;42;0.3845655918121338;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.1792809963226318;0-2;Random bit-flip
val;knapsacksa.cpp;13;1.1067719459533691;0-2;Random bit-flip
W;knapsacksa.cpp;15;0.8271815776824951;0-2;Random bit-flip
best;knapsacksa.cpp;41;0.6250691413879395;0-2;Random bit-flip
temp;knapsacksa.cpp;42;0.8909382820129395;0-2;Random bit-flip
solution;knapsacksa.cpp;25;1.657682180404663;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.2405343055725098;0-2;Random bit-flip
W;knapsacksa.cpp;15;1.1450767517089844;0-2;Random bit-flip
temp;knapsacksa.cpp;42;0.3503587245941162;0-2;Random bit-flip
