Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;knapsacksa.cpp;15;1.5638525485992432;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.217942714691162;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1549303531646729;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.2630107402801514;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.0999557971954346;0-2;Zero bit-flip
wt;knapsacksa.cpp;14;2.0934250354766846;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.43565869331359863;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.6938002109527588;0-2;Zero bit-flip
wt;knapsacksa.cpp;14;1.4506218433380127;0-2;Zero bit-flip
s;knapsacksa.cpp;47;1.2714791297912598;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.1949717998504639;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.668348789215088;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.1293482780456543;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.1749663352966309;0-2;Zero bit-flip
val;knapsacksa.cpp;13;2.0460076332092285;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.2828006744384766;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.1091833114624023;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.853100061416626;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.571439504623413;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.2577710151672363;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.4388458728790283;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.3795890808105469;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0107331275939941;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.3809940814971924;0-2;Zero bit-flip
wt;knapsacksa.cpp;14;1.5519535541534424;0-2;Zero bit-flip
n;knapsacksa.cpp;15;2.0693492889404297;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.022801160812378;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.3847472667694092;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.6069614887237549;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.1877856254577637;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.008500576019287;0-2;Zero bit-flip
i;knapsacksa.cpp;27;1.4078309535980225;0-2;Zero bit-flip
delta;knapsacksa.cpp;51;1.0255591869354248;0-2;Zero bit-flip
i;knapsacksa.cpp;48;2.6237683296203613;0-2;Zero bit-flip
_rtld_global_ro;rtld.c;259;1.0647921562194824;0-2;Zero bit-flip
valor;knapsacksa.cpp;26;1.893169641494751;0-2;Zero bit-flip
val;knapsacksa.cpp;13;2.817803382873535;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.3047027587890625;0-2;Zero bit-flip
valor;knapsacksa.cpp;26;0.9540932178497314;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.3990123271942139;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.8004655838012695;0-2;Zero bit-flip
wt;knapsacksa.cpp;14;1.3931457996368408;0-2;Zero bit-flip
n;knapsacksa.cpp;15;2.1590383052825928;0-2;Zero bit-flip
delta;knapsacksa.cpp;51;1.103057861328125;0-2;Zero bit-flip
__result;/usr/include/c++/7/bits/stl_algobase.h;357;0.999427080154419;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;0.8926069736480713;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.0283360481262207;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.6191809177398682;0-2;Zero bit-flip
__first;/usr/include/c++/7/bits/stl_algobase.h;357;1.7147831916809082;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.5560557842254639;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.8503496646881104;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.1055240631103516;0-2;Zero bit-flip
__xlen;/usr/include/c++/7/bits/vector.tcc;203;0.8303706645965576;0-2;Zero bit-flip
delta;knapsacksa.cpp;51;1.0744438171386719;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.1214776039123535;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.6677126884460449;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.0145635604858398;0-2;Zero bit-flip
n;knapsacksa.cpp;15;2.3316750526428223;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.4939343929290771;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.0066688060760498;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.242387294769287;0-2;Zero bit-flip
__n;/usr/include/c++/7/bits/stl_vector.h;795;1.4484639167785645;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;0.9577212333679199;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.46710872650146484;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;1.133617877960205;0-2;Zero bit-flip
wt;knapsacksa.cpp;14;1.632784128189087;0-2;Zero bit-flip
__xlen;/usr/include/c++/7/bits/vector.tcc;203;1.5701911449432373;0-2;Zero bit-flip
i;knapsacksa.cpp;48;1.0868399143218994;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.4557998180389404;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.3128530979156494;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.8046178817749023;0-2;Zero bit-flip
wt;knapsacksa.cpp;14;0.8796496391296387;0-2;Zero bit-flip
c;knapsacksa.cpp;50;0.41806626319885254;0-2;Zero bit-flip
temp;knapsacksa.cpp;42;2.0185763835906982;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.83974289894104;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.4089672565460205;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.7197780609130859;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.8221266269683838;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.5176258087158203;0-2;Zero bit-flip
user_entry;../elf/dl-sysdep.c;91;0.7320680618286133;0-2;Zero bit-flip
val;knapsacksa.cpp;13;0.9470274448394775;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.1368427276611328;0-2;Zero bit-flip
val;knapsacksa.cpp;13;1.4956212043762207;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.757178783416748;0-2;Zero bit-flip
c;knapsacksa.cpp;50;1.5121033191680908;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.0912327766418457;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.7258505821228027;0-2;Zero bit-flip
s;knapsacksa.cpp;47;1.6850082874298096;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.0027406215667725;0-2;Zero bit-flip
temp;knapsacksa.cpp;42;1.2783100605010986;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.6411828994750977;0-2;Zero bit-flip
n;knapsacksa.cpp;15;1.2944908142089844;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.9572803974151611;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.0033323764801025;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.4073903560638428;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.9892873764038086;0-2;Zero bit-flip
n;knapsacksa.cpp;15;0.43946051597595215;0-2;Zero bit-flip
