Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
s;knapsacksa.cpp;47;0.7425458431243896;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.8259847164154053;0-2;Zero bit-flip
temp;knapsacksa.cpp;42;1.25980806350708;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.7250320911407471;0-2;Zero bit-flip
best;knapsacksa.cpp;41;1.1313447952270508;0-2;Zero bit-flip
best;knapsacksa.cpp;41;0.4705672264099121;0-2;Zero bit-flip
val;knapsacksa.cpp;13;1.2034556865692139;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.9872486591339111;0-2;Zero bit-flip
valor;knapsacksa.cpp;26;0.44638514518737793;0-2;Zero bit-flip
i;knapsacksa.cpp;27;1.1553430557250977;0-2;Zero bit-flip
best;knapsacksa.cpp;41;1.0111055374145508;0-2;Zero bit-flip
i;knapsacksa.cpp;27;0.939298152923584;0-2;Zero bit-flip
wt;knapsacksa.cpp;14;1.658846378326416;0-2;Zero bit-flip
temp;knapsacksa.cpp;42;1.6790330410003662;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.3015670776367188;0-2;Zero bit-flip
temp;knapsacksa.cpp;42;0.988605260848999;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.2837049961090088;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.7548391819000244;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.7446384429931641;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.6030800342559814;0-2;Zero bit-flip
wt;knapsacksa.cpp;14;1.3915917873382568;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.0811138153076172;0-2;Zero bit-flip
val;knapsacksa.cpp;13;0.6202757358551025;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.11138916015625;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.1520326137542725;0-2;Zero bit-flip
i;knapsacksa.cpp;27;1.034757137298584;0-2;Zero bit-flip
i;knapsacksa.cpp;27;1.0307726860046387;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.0710687637329102;0-2;Zero bit-flip
peso;knapsacksa.cpp;26;1.3373663425445557;0-2;Zero bit-flip
i;knapsacksa.cpp;27;1.3145513534545898;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.9899933338165283;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.8054859638214111;0-2;Zero bit-flip
val;knapsacksa.cpp;13;1.196955919265747;0-2;Zero bit-flip
val;knapsacksa.cpp;13;0.6873564720153809;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.4209387302398682;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.4748775959014893;0-2;Zero bit-flip
peso;knapsacksa.cpp;26;1.0317816734313965;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.0246801376342773;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.3307147026062012;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.7279846668243408;0-2;Zero bit-flip
val;knapsacksa.cpp;13;0.9216382503509521;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.9533891677856445;0-2;Zero bit-flip
wt;knapsacksa.cpp;14;1.1500964164733887;0-2;Zero bit-flip
temp;knapsacksa.cpp;42;0.7149953842163086;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.317232370376587;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.1748156547546387;0-2;Zero bit-flip
best;knapsacksa.cpp;41;0.9033224582672119;0-2;Zero bit-flip
temp;knapsacksa.cpp;42;0.985821008682251;0-2;Zero bit-flip
__first;/usr/include/c++/7/bits/stl_uninitialized.h;287;1.4339876174926758;0-2;Zero bit-flip
best;knapsacksa.cpp;41;1.6031744480133057;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.7681925296783447;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.940911054611206;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.0896992683410645;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.0566296577453613;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.9182047843933105;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.8094549179077148;0-2;Zero bit-flip
val;knapsacksa.cpp;13;1.0485131740570068;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.0433056354522705;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.3005528450012207;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.9383575916290283;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.21337890625;0-2;Zero bit-flip
val;knapsacksa.cpp;13;0.611396074295044;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.5882601737976074;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.9784150123596191;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.8779375553131104;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.0188512802124023;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.6599388122558594;0-2;Zero bit-flip
temp;knapsacksa.cpp;42;1.284195899963379;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.4197516441345215;0-2;Zero bit-flip
valor;knapsacksa.cpp;26;1.1317110061645508;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.9662926197052002;0-2;Zero bit-flip
W;knapsacksa.cpp;15;2.0275793075561523;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.6130309104919434;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.062074899673462;0-2;Zero bit-flip
temp;knapsacksa.cpp;42;1.5991690158843994;0-2;Zero bit-flip
val;knapsacksa.cpp;13;1.3405709266662598;0-2;Zero bit-flip
val;knapsacksa.cpp;13;1.2747924327850342;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.6330945491790771;0-2;Zero bit-flip
temp;knapsacksa.cpp;42;1.308274507522583;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.4219632148742676;0-2;Zero bit-flip
wt;knapsacksa.cpp;14;1.0945308208465576;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.8356335163116455;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.2585372924804688;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.4674491882324219;0-2;Zero bit-flip
best;knapsacksa.cpp;41;1.416445255279541;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.9244754314422607;0-2;Zero bit-flip
val;knapsacksa.cpp;13;0.5700709819793701;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.1234235763549805;0-2;Zero bit-flip
W;knapsacksa.cpp;15;0.8965785503387451;0-2;Zero bit-flip
temp;knapsacksa.cpp;42;1.7083871364593506;0-2;Zero bit-flip
i;knapsacksa.cpp;27;1.2118630409240723;0-2;Zero bit-flip
W;knapsacksa.cpp;15;1.0319933891296387;0-2;Zero bit-flip
