Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
n;knapsacksa.cpp;15;1.7514309883117676;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.6717638969421387;0-2;Single bit-flip
t;knapsacksa.cpp;46;1.2423675060272217;0-2;Single bit-flip
n;knapsacksa.cpp;15;2.2459022998809814;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.471289873123169;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.8233897686004639;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.241269826889038;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.4547119140625;0-2;Single bit-flip
n;knapsacksa.cpp;15;2.2705912590026855;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.7793352603912354;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.5238044261932373;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.31093907356262207;0-2;Single bit-flip
n;knapsacksa.cpp;15;2.1870670318603516;0-2;Single bit-flip
n;knapsacksa.cpp;15;1.1948435306549072;0-2;Single bit-flip
n;knapsacksa.cpp;15;0.6956357955932617;0-2;Single bit-flip
t;knapsacksa.cpp;46;2.4531614780426025;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.7166366577148438;0-2;Random bit-flip
t;knapsacksa.cpp;46;0.7995791435241699;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.2144548892974854;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.515472412109375;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.0411360263824463;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.089449167251587;0-2;Random bit-flip
t;knapsacksa.cpp;46;0.6326985359191895;0-2;Random bit-flip
t;knapsacksa.cpp;46;0.48511743545532227;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.1556415557861328;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.1429314613342285;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.1900756359100342;0-2;Random bit-flip
t;knapsacksa.cpp;46;1.4562556743621826;0-2;Random bit-flip
t;knapsacksa.cpp;46;0.6104481220245361;0-2;Random bit-flip
n;knapsacksa.cpp;15;0.847543478012085;0-2;Double bit-flip
n;knapsacksa.cpp;15;0.48987770080566406;0-2;Double bit-flip
n;knapsacksa.cpp;15;1.5552351474761963;0-2;Double bit-flip
n;knapsacksa.cpp;15;1.1540966033935547;0-2;Double bit-flip
n;knapsacksa.cpp;15;0.8432128429412842;0-2;Double bit-flip
n;knapsacksa.cpp;15;1.2246928215026855;0-2;Double bit-flip
n;knapsacksa.cpp;15;0.8234219551086426;0-2;Double bit-flip
n;knapsacksa.cpp;15;2.2315001487731934;0-2;Double bit-flip
n;knapsacksa.cpp;15;1.5457448959350586;0-2;Double bit-flip
n;knapsacksa.cpp;15;0.9696574211120605;0-2;Double bit-flip
n;knapsacksa.cpp;15;1.8193943500518799;0-2;Double bit-flip
n;knapsacksa.cpp;15;1.6250054836273193;0-2;Double bit-flip
t;knapsacksa.cpp;46;1.3789150714874268;0-2;Double bit-flip
t;knapsacksa.cpp;46;1.4545247554779053;0-2;Double bit-flip
n;knapsacksa.cpp;15;1.3049066066741943;0-2;Double bit-flip
n;knapsacksa.cpp;15;1.6980922222137451;0-2;Double bit-flip
n;knapsacksa.cpp;15;1.4040968418121338;0-2;Double bit-flip
t;knapsacksa.cpp;46;1.0137388706207275;0-2;Double bit-flip
n;knapsacksa.cpp;15;1.1035723686218262;0-2;Double bit-flip
n;knapsacksa.cpp;15;1.1422641277313232;0-2;Double bit-flip
t;knapsacksa.cpp;46;0.7479877471923828;0-2;LSB bit-flip
t;knapsacksa.cpp;46;1.110917568206787;0-2;LSB bit-flip
t;knapsacksa.cpp;46;1.4000980854034424;0-2;LSB bit-flip
t;knapsacksa.cpp;46;1.2343659400939941;0-2;LSB bit-flip
