numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
1;0.0058741460944326425;0.0058741460944326425;0.0058741460944326425;1;1;1;1;1;1;1;1;1;1;1;1;1;1
33;0.0001499800514127051;2.551855299050509e-08;6.5492125898623614e-06;33;33;33;33;33;33;33;33;33;33;33;33;33;33
33;0.0001499800514127051;2.551855299050509e-08;6.5492125898623614e-06;33;33;33;33;33;33;33;33;33;33;33;33;33;33
1;14.98724145167954;14.98724145167954;14.98724145167954;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;0.014631346259209971;0.014631346259209971;0.014631346259209971;1;1;1;1;1;1;1;1;1;1;1;1;1;1
52;406.4522011462848;1.0205819714494741e-08;13.898771541601834;18;18;19;19;19;22;26;29;33;35;37;40;42;44
34;32.61143436077937;1.4968629272943432e-07;0.9591617527483837;33;33;33;33;33;33;33;33;33;33;33;33;33;33
1;0.0058741460944326425;0.0058741460944326425;0.0058741460944326425;1;1;1;1;1;1;1;1;1;1;1;1;1;1
33;0.0001499800514127051;2.551855299050509e-08;6.5492125898623614e-06;33;33;33;33;33;33;33;33;33;33;33;33;33;33
33;0.0001499800514127051;2.551855299050509e-08;6.5492125898623614e-06;33;33;33;33;33;33;33;33;33;33;33;33;33;33
1;14.98724145167954;14.98724145167954;14.98724145167954;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1;0.014631346259209971;0.014631346259209971;0.014631346259209971;1;1;1;1;1;1;1;1;1;1;1;1;1;1
52;406.4522011462848;1.0205819714494741e-08;13.898771541601834;18;18;19;19;19;22;26;29;33;35;37;40;42;44
34;32.61143436077937;1.4968629272943432e-07;0.9591617527483837;33;33;33;33;33;33;33;33;33;33;33;33;33;33
