numberIterationErrors;maxRelativeError;minRelativeError;averageRelativeError;numberErrorsLessThan0.1;numberErrorsLessThan0.2;numberErrorsLessThan0.3;numberErrorsLessThan0.4;numberErrorsLessThan0.5;numberErrorsLessThan1;numberErrorsLessThan2;numberErrorsLessThan3;numberErrorsLessThan4;numberErrorsLessThan5;numberErrorsLessThan8;numberErrorsLessThan10;numberErrorsLessThan12;numberErrorsLessThan15
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.663684638113522;4.663684638113522;4.663684638113522;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;51067.9662780897;51067.9662780897;51067.9662780897;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;3187.3255541835606;3187.3255541835606;3187.3255541835606;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.863839510800181;4.863839510800181;4.863839510800181;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.983513859583367;4.983513859583367;4.983513859583367;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.638570148384777;4.638570148384777;4.638570148384777;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.645229293388611;4.645229293388611;4.645229293388611;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.720001978717373;4.720001978717373;4.720001978717373;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.687086776269851;4.687086776269851;4.687086776269851;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;145.97416632261084;145.97416632261084;145.97416632261084;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;143.92904776129058;143.92904776129058;143.92904776129058;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;1.8991881550933898;1.8991881550933898;1.8991881550933898;0;0;0;0;0;0;1;1;1;1;1;1;1;1
1;5.6277385733828265;5.6277385733828265;5.6277385733828265;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.952501269994083;4.952501269994083;4.952501269994083;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;5.012623836314411;5.012623836314411;5.012623836314411;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.184035936551666;4.184035936551666;4.184035936551666;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;141.1577018719808;141.1577018719808;141.1577018719808;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.705732382280585;4.705732382280585;4.705732382280585;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.605084162079784;4.605084162079784;4.605084162079784;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.91254639997108;4.91254639997108;4.91254639997108;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;5.54231125604793;5.54231125604793;5.54231125604793;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.812088441056103;4.812088441056103;4.812088441056103;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.916351625687557;4.916351625687557;4.916351625687557;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.916351625687557;4.916351625687557;4.916351625687557;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;3.9981506603017927;3.9981506603017927;3.9981506603017927;0;0;0;0;0;0;0;0;1;1;1;1;1;1
1;46.16404708586301;46.16404708586301;46.16404708586301;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4.928528347980281;4.928528347980281;4.928528347980281;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.958779892426269;4.958779892426269;4.958779892426269;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.983513859583367;4.983513859583367;4.983513859583367;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;142.58009524479968;142.58009524479968;142.58009524479968;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;6377.813060676227;6377.813060676227;6377.813060676227;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4.946032386276073;4.946032386276073;4.946032386276073;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;25.945360763937114;25.945360763937114;25.945360763937114;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;28.33561329774179;28.33561329774179;28.33561329774179;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;136.4375096319776;136.4375096319776;136.4375096319776;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.058476806197952;5.058476806197952;5.058476806197952;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;5.6277385733828265;5.6277385733828265;5.6277385733828265;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.729134520436916;4.729134520436916;4.729134520436916;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;29.019792881564253;29.019792881564253;29.019792881564253;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;39.91377358526464;39.91377358526464;39.91377358526464;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.863649249514358;4.863649249514358;4.863649249514358;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;33.805054481319196;33.805054481319196;33.805054481319196;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;3.437831173550637;3.437831173550637;3.437831173550637;0;0;0;0;0;0;0;0;1;1;1;1;1;1
1;4.7759387967495766;4.7759387967495766;4.7759387967495766;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;5.178531677552783;5.178531677552783;5.178531677552783;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;136.04385903160812;136.04385903160812;136.04385903160812;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.803907205765678;4.803907205765678;4.803907205765678;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;5.6277385733828265;5.6277385733828265;5.6277385733828265;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.839486066214733;4.839486066214733;4.839486066214733;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.737696278298988;4.737696278298988;4.737696278298988;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.235406483724098;4.235406483724098;4.235406483724098;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;30.30063185773022;30.30063185773022;30.30063185773022;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;140.58216148236374;140.58216148236374;140.58216148236374;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4.821030721489822;4.821030721489822;4.821030721489822;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;16.122360838139016;16.122360838139016;16.122360838139016;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;102132.23311573785;102132.23311573785;102132.23311573785;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;20.200611499772638;20.200611499772638;20.200611499772638;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4.384571331809975;4.384571331809975;4.384571331809975;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.96677086643087;4.96677086643087;4.96677086643087;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;28.067535146016027;28.067535146016027;28.067535146016027;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;4.38438107052415;4.38438107052415;4.38438107052415;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;5.081117899210986;5.081117899210986;5.081117899210986;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;4.983513859583367;4.983513859583367;4.983513859583367;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;4.771562787175628;4.771562787175628;4.771562787175628;0;0;0;0;0;0;0;0;0;1;1;1;1;1
1;5.016429062030887;5.016429062030887;5.016429062030887;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;42.35863110810075;42.35863110810075;42.35863110810075;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.6277385733828265;5.6277385733828265;5.6277385733828265;0;0;0;0;0;0;0;0;0;0;1;1;1;1
1;32.845947339481306;32.845947339481306;32.845947339481306;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;6371.85750190737;6371.85750190737;6371.85750190737;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;32.221890321979174;32.221890321979174;32.221890321979174;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;6369.172534641823;6369.172534641823;6369.172534641823;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;5.54231125604793;5.54231125604793;5.54231125604793;0;0;0;0;0;0;0;0;0;0;1;1;1;1
